Question & Options,Correct Answer
"In the 2005 movie 'Bunty Aur Babli', how do Rakesh Trivedi and Vimmi Saluja become friends?
Options:
A. They meet at a party and hit it off.
B. They realize their stories are similar while sneaking out in the dark of the night.
C. They are childhood friends who reunite.
D. They work together in the same office.",They realize their stories are similar while sneaking out in the dark of the night.
"In the movie 'Bunty Aur Babli' (2005), what happens to Vimmi Saluja when she tries to enter the Miss India contest?
Options:
A. She wins the contest and becomes famous.
B. She gets thrown out after an argument when she refuses to sleep with someone to get a part.
C. She is welcomed with open arms and praised by the judges.
D. She decides to withdraw her application before the contest.",She gets thrown out after an argument when she refuses to sleep with someone to get a part.
"In the 2005 movie 'Bunty Aur Babli', what happens to Rakesh Trivedi when he tries to sell his investment scheme ideas?
Options:
A. He successfully convinces the businessman to invest.
B. The businessman shows great interest in his ideas.
C. He is turned away by the businessman.
D. He receives a lucrative offer from another investor.",He is turned away by the businessman.
"In the movie 'Bunty Aur Babli' (2005), which character stole ideas from Rakesh Trivedi's presentation file?
Options:
A. Bunty
B. Babli
C. Restaurant Man
D. Rakesh Trivedi",Restaurant Man
"In the 2005 movie 'Bunty Aur Babli', who is the antagonist that captures Bunty and Babli, leading to their imprisonment?
Options:
A. Inspector Verma
B. DCP Dashrath Singh
C. Babli's Father
D. The Local Police Chief",DCP Dashrath Singh
"In the 2005 movie 'Bunty Aur Babli', what is the relationship between Bunty and Babli as they decide to continue their conning activities?
Options:
A. They are childhood friends
B. They are siblings
C. They are friends turned lovers
D. They are business partners",They are friends turned lovers
"In the 2005 movie 'Bunty Aur Babli', what does the man Rakesh met at a restaurant do with Rakesh's presentation file?
Options:
A. He compliments Rakesh on his ideas.
B. He steals ideas from Rakesh's presentation file.
C. He helps Rakesh improve his presentation.
D. He ignores the presentation file completely.",He steals ideas from Rakesh's presentation file.
"In the 2005 movie 'Bunty Aur Babli', what is the relationship between Bunty and Babli and their lifestyle?
Options:
A. They find the lifestyle boring and want to leave it.
B. They are indifferent to the lifestyle they lead.
C. They are addicted to the lifestyle and find it too exciting to give up.
D. They are forced into the lifestyle against their will.",They are addicted to the lifestyle and find it too exciting to give up.
"In the 2005 movie 'Bunty Aur Babli', what role does the interviewer play in relation to Bunty's character when he enters the office?
Options:
A. The interviewer is surprised by Bunty's unique ideas.
B. The interviewer has the same idea as Bunty's before he arrives.
C. The interviewer is a friend of Bunty's.
D. The interviewer is unaware of Bunty's intentions.",The interviewer has the same idea as Bunty's before he arrives.
"In the 2005 movie 'Bunty Aur Babli', how does Dashrath influence the lives of Bunty and Babli?
Options:
A. He encourages them to continue their criminal activities.
B. He rescues them from their mundane domestic lives by offering them a chance to work for the nation.
C. He becomes their main antagonist.
D. He helps them retire from their life of crime.",He rescues them from their mundane domestic lives by offering them a chance to work for the nation.
"In the 2005 movie 'Bunty Aur Babli', what was the policeman's belief regarding Bunty and Babli's careers as criminals?
Options:
A. He believed he had physically harmed them.
B. He thought he had metaphorically destroyed their ambitions.
C. He was convinced he had captured them.
D. He assumed they would retire from crime.",He thought he had metaphorically destroyed their ambitions.
