node_1,node_2,edge
d'artagnan,febre,"D'Artagnan witnesses the murder of his parents at the hands of Febre, a cruel swordsman in the employ of Cardinal Richelieu. D'Artagnan is nearly killed after using his dead father's sword to attack Febre, who is then left with a permanent scar and the loss of his left eye."
richelieu,king's authority,Richelieu plots to usurp the king's authority and render him a powerless figurehead.
richelieu,hostility,"Richelieu is trying to foment hostility between France, England, and Spain to gain more political power for himself."
richelieu,febre,"Richelieu realizes that the jingoistic Febre intends to incite full-blown war between England and France. Richelieu realizes that he has lost control of his chief henchman, Febre."
febre,queen,Febre kidnaps the queen.
queen,buckingham,"The queen writes a letter to Buckingham asking him to meet her at a heavily fortified castle of his choosing, using the queen's ring to convince him of the authenticity of the message."
d'artagnan,francesca,D'Artagnan and Francesca become intimate.
landlord,d'artagnan,The landlord overhears d'Artagnan and Francesca and tells Febre.
porthos,aramis,"D'Artagnan convinces two veteran musketeers, Porthos and Aramis, to free the imprisoned head of the musketeers, Captain de Tréville, thus earning their trust."
febre,mob,"Febre incites a mob to attack the royal palace during a state dinner for Lord Buckingham, a visiting English dignitary."
febre,richelieu,"Richelieu visits d'Artagnan and reveals Febre's plans, pleading for his help to stop him due to losing control of his chief henchman."
febre,francesca,Febre is holding Francesca and d'Artagnan agrees to help stop him because of this.
surviving musketeers,d'artagnan,D'Artagnan convinces the surviving musketeers that their responsibility to the crown remains their highest priority and they join him in stopping Febre.
castle,francesca,"Francesca, the queen, and Lord Buckingham are being held at the castle where d'Artagnan and the remaining musketeers charge on horseback to stop Febre."
musketeers,febre's men,"The remaining musketeers easily deal with Febre's men while d'Artagnan engages Febre himself in an intense duel, finally killing him and avenging the death of his parents."
francesca,d'artagnan,D'Artagnan marries Francesca at the end of the film.
febre,historical figures,"In this version, Febre takes precedence over the historical figures mentioned in the book."
d'artagnan,parents' murder,"In this version, D'Artagnan bears witness to the gratuitous crime of his parents' murder, which is not part of Richelieu's conspiracy and neither Athos, Porthos nor Aramis are aware of it."
planchet,d'artagnan,"In this version, Planchet is not just a servant hired by D'Artagnan in Paris but rather a sidekick and mentor to the d'Artagnan family who raises the boy after his parents' death and arms himself with concealed pistols."
three musketeers adaptation,d'artagnan,"The Three Musketeers adaptation, titled D'Artagnan, was one of several adaptations in the works at different studios at the time. The term 'adaptation' indicates that it is based on a pre-existing work, Alexander Dumas' novel."
three musketeers adaptation,columbia's adaptation,"Both the Three Musketeers adaptation being developed by Gene Quintano and Moshe Diamant, and Columbia's adaptation were in development around the same time. This indicates that they are similar productions and can be seen as related."
three musketeers adaptation,tri-star's adaptation,"Both the Three Musketeers adaptation being developed by Gene Quintano and Moshe Diamant, and Tri-Star's adaptation were in development around the same time. This indicates that they are similar productions and can be seen as related."
mena suvari,lead actress,"Early coverage of the production named Mena Suvari as the lead actress, indicating that she was a significant figure in the project."
michael lonsdale,in talks to appear,"Early coverage of the production mentioned Michael Lonsdale as being in talks to appear, indicating that he was a significant figure in the project."
peter hyams,director,Peter Hyams replaced Gene Quintano as director of the production. This indicates a change in leadership and a potential shift in creative direction.
mdp worldwide,behaviour communications,"MDP Worldwide merged with Behaviour Communications to form a Canadian multimedia conglomerate, which was later renamed back to MDP Worldwide."
catherine deneuve,eyes wide shut,"Catherine Deneuve signed on to star in Eyes Wide Shut shortly before filming, after being in negotiations for several months."
feardotcom,eyes wide shut,"Eyes Wide Shut, FeardotCom, and Extreme Ops were all co-produced by MDP Worldwide, Luxembourg's Carousel Picture Company, and German tax shelter fund AppolloMedia."
germany,eyes wide shut,"Eyes Wide Shut was a co-production between the United States, the United Kingdom, Germany, and Luxembourg."
luxembourg's carousel picture company,eyes wide shut,"Eyes Wide Shut was a co-production between the United States, the United Kingdom, Germany, and Luxembourg's Carousel Picture Company."
mdp worldwide,feardotcom,"MDP Worldwide was involved in producing both Eyes Wide Shut and FeardotCom, as well as Extreme Ops."
suitable extras,local population,"Despite interest from the local population, casting agents struggled to find suitable extras to portray a bygone peasantry, as most modern inhabitants of rural Southern France lacked the rough facial features desired by production, and looked too urban."
downtown brionne,monpazier,"Another Dordogne locality, Monpazier, stood in for downtown Brionne."
sarlat,revenge of the musketeers,"Sarlat is featured in another adaptation of Dumas' work, Revenge of the Musketeers."
royal palace,capitole,The Royal Palace is based on the redecorated Capitole in Toulouse.
richelieu's residence,convent of the jacobins,Richelieu's residence is based on the Convent of the Jacobins in Toulouse.
château de caumont in cazaux-savès,musketeers' headquarters,Château de Caumont in Cazaux-Savès stands in for the Musketeers' headquarters at Monsieur de Tréville's.
"hyams, diamant, chambers, and castaldi",honorary 'musketeers',"During filming in the area, Hyams, Diamant, Chambers, and Castaldi attended a ceremony at fr:Cathédrale Saint-Pierre de Condom where they were made honorary 'musketeers', although this was not a military function, and rather a banquet organized by a cultural association only loosely related to the old Musketeers of the Guard."
vianden castle in luxembourg,duchamps castle,Vianden Castle in Luxembourg became the fictional Duchamps Castle in the movie.
the musketeer,alexandre dumas's classic,The film 'The Musketeer' is a reimagination of Alexandre Dumas's classic.
los angeles,the musketeer,The film 'The Musketeer' held its world premiere in Los Angeles.
deauville festival,the musketeer,The film 'The Musketeer' held its European premiere at the Deauville Festival.
universal,the musketeer,Universal released the film 'The Musketeer' in North America.
miramax,the musketeer,Miramax released the film 'The Musketeer' in the United Kingdom.
los angeles,"september 5, 2001","The film 'The Musketeer' held its world premiere in Los Angeles on September 5, 2001."
deauville festival,"september 7, 2001","The film 'The Musketeer' held its European premiere at the Deauville Festival on September 7, 2001."
musketeers of the guard,association,The association between 'The Musketeer' and 'Musketeers of the Guard' is only loosely related.
duchamps castle,vianden castle,Vianden Castle is known as Duchamps Castle in the film 'The Musketeer'.
castle,vianden,The film 'The Musketeer' used Vianden Castle for its climactic action scene.
xin-xin xiong,tim roth's stunt double,Xin-Xin Xiong was Tim Roth's stunt double in the film 'The Musketeer'.
sizzle reel,american film market,The film 'The Musketeer' was shown at the American Film Market in the form of a sizzle reel in March 2001.
march 2001,american film market,The film 'The Musketeer' was shown at the American Film Market in March 2001.
the musketeer,$7 million,"Internationally, The Musketeer struggled to gross only $7 million."
the musketeer,combined worldwide gross,The combined worldwide gross of The Musketeer was $34 million.
the musketeer,mdp,"Sales of the film's rights, combined with efficient tax optimization, made The Musketeer a positive venture according to MDP."
decca records,universal music,"Decca Records, a subsidiary of Universal Music, was heard on the soundtrack at Universal Studios Florida on September 11, 2001. This suggests a relationship between Decca Records and Universal Music."
universal studios florida,decca records,The soundtrack featuring Decca Records was frequently heard at the entrance of Universal Studios Florida.
