Question & Options,Correct Answer
"In the movie 'Munna Bhai M.B.B.S.' (2003), which of the following statements are true regarding the relationship between Munna Bhai and Hariprasad?
Options:
A. Munna Bhai is the son of Hariprasad
B. Hariprasad is a doctor
C. Munna Bhai wants to become a doctor
D. Hariprasad disapproves of Munna Bhai's lifestyle","Munna Bhai is the son of Hariprasad, Hariprasad disapproves of Munna Bhai's lifestyle"
"In the movie 'Munna Bhai M.B.B.S.' (2003), which of the following statements about the characters are true?
Options:
A. A) Parvati is the wife of Munna Bhai's father Hariprasad.
B. B) Munna Bhai is a doctor.
C. C) Parvati supports Munna Bhai in his endeavors.
D. D) Hariprasad is unaware of Munna Bhai's true profession.","A, C, D"
"In the movie 'Munna Bhai M.B.B.S.' (2003), which of the following statements are true regarding the characters Hariprasad and Parvati?
Options:
A. A) Hariprasad is the husband of Parvati.
B. B) Parvati is a doctor.
C. C) Hariprasad is a wealthy businessman.
D. D) Parvati supports her husband in his endeavors.","A) Hariprasad is the husband of Parvati., D) Parvati supports her husband in his endeavors."
"In the movie 'Munna Bhai M.B.B.S.' (2003), which of the following statements are true regarding the relationship between Munna Bhai and Sarkeshwar 'Circuit' Sharma?
Options:
A. A. Munna Bhai and Circuit are best friends.
B. B. Munna Bhai and Circuit are members of the same gang.
C. C. Munna Bhai is Circuit's mentor.
D. D. Circuit often helps Munna Bhai in his schemes.","B, D"
"In the movie 'Munna Bhai M.B.B.S.' (2003), which of the following statements are true regarding the relationship between Dean Dr. Jagdish Asthana and Chinki?
Options:
A. They are friends
B. They are family
C. They often argue
D. They work together",They are friends
"In the movie 'Munna Bhai M.B.B.S.' (2003), which of the following statements about the relationship between Munna Bhai and Chinki are true?
Options:
A. They are childhood friends
B. They are rivals
C. They support each other
D. They are siblings","They are childhood friends, They support each other"
"In the movie 'Munna Bhai M.B.B.S.' (2003), which of the following statements are true regarding the relationship between Dr. Jagdish Asthana and Hari?
Options:
A. A. Dr. Jagdish Asthana is a dean at the medical college.
B. B. Hari is a student at the medical college.
C. C. Dr. Jagdish Asthana and Hari are rivals.
D. D. Dr. Jagdish Asthana and Hari know each other.","A, B, D"
"In the movie 'Munna Bhai M.B.B.S.' (2003), which of the following statements are true regarding Munna Bhai's relationship with Asthana College?
Options:
A. A. Munna Bhai enrolls into Asthana College to become a doctor.
B. B. Asthana College is known for its strict rules and regulations.
C. C. Munna Bhai is a gangster who pretends to be a student at Asthana College.
D. D. Asthana College is where Munna Bhai learns about compassion and humanity.","A, C, D"
"In the movie 'Munna Bhai M.B.B.S.' (2003), which characters are involved in the relationship where Dr. Rustom Pawri helps Munna Bhai enroll into the college?
Options:
A. Dr. Rustom Pawri
B. Munna Bhai
C. Circuit
D. Suman","Dr. Rustom Pawri, Munna Bhai"
"In the movie 'Munna Bhai M.B.B.S.' (2003), which of the following statements are true regarding the relationship between Asthana College and Dr. Jagdish Asthana?
Options:
A. Dr. Jagdish Asthana is the dean of Asthana College.
B. Asthana College is known for its medical programs.
C. Dr. Jagdish Asthana is a character who opposes Munna Bhai.
D. Asthana College is a fictional institution created for the movie.","Dr. Jagdish Asthana is the dean of Asthana College., Dr. Jagdish Asthana is a character who opposes Munna Bhai."
