Question,Answer,LLAMA_response
"[""In the 2013 movie 'The Wolf of Wall Street', did Jordan Belfort work under Mark Hanna in a different industry other than Wall Street stockbroking?""]",no,yes
"[""Was Jordan Belfort employed under Mark Hanna as a Wall Street stockbroker for L.F. Rothschild in the 2013 movie 'The Wolf of Wall Street'?""]",yes,yes
"[""Did Jordan Belfort start working as a Wall Street stockbroker for L.F. Rothschild in 1985 in the movie 'The Wolf of Wall Street' released in 2013?""]",no,yes
"[""In the 2013 movie 'The Wolf of Wall Street', did Jordan Belfort land a job as a Wall Street stockbroker for L.F. Rothschild in 1987?""]",yes,yes
"""In the 2013 movie 'The Wolf of Wall Street', did Jordan Belfort remain married to his wife Teresa throughout the entire plot?""",no,yes
"""In 'The Wolf of Wall Street' released in 2013, is there an affair between Jordan Belfort and Naomi Lapaglia leading to Jordan divorcing Teresa and marrying Naomi in 1991?""",yes,no
"[""Did the SEC not investigate Jordan Belfort's activities at Stratton Oakmont in the 2013 movie 'The Wolf of Wall Street'?""]",no,no
"[""In the 2013 movie 'The Wolf of Wall Street', was Jordan Belfort investigated by the SEC for his activities at Stratton Oakmont?""]",yes,yes
"[""Did the movie 'The Wolf of Wall Street' released in 2013 depict an investigation by the CIA into Jordan Belfort's activities at Stratton Oakmont?""]",no,yes
"[""In the 2013 movie 'The Wolf of Wall Street', was there an investigation by the FBI into Jordan Belfort's activities at Stratton Oakmont?""]",yes,yes
"[""In the 2013 movie 'The Wolf of Wall Street', did Donnie get arrested during a heated argument between Brad and Donnie during a money exchange?""]",no,no
"[""In the 2013 movie 'The Wolf of Wall Street', was there a heated argument between Brad and Donnie during a money exchange?""]",yes,yes
"[""Is it true that in the 2013 movie 'The Wolf of Wall Street', Jordan's wife Emma died in 1996 due to a heart attack while he was on a yacht trip to Italy?""]",no,yes
"[""In the 2013 movie 'The Wolf of Wall Street', does Jordan learn about his wife Emma's death while on a yacht trip to Italy?""]",yes,yes
"[""Did Jordan, in the 2013 movie 'The Wolf of Wall Street', go to France instead of Switzerland to forge Emma's name and save their account before attending the funeral in London?""]",no,no
"[""In the 2013 movie 'The Wolf of Wall Street', did Jordan go to Switzerland to forge Emma's name and safeguard their account before heading to London for the funeral?""]",yes,no
"[""Did Jordan, in the 2013 movie 'The Wolf of Wall Street', decide to travel by plane to Monaco to bypass border patrols?""]",no,yes
"[""In the 2013 movie 'The Wolf of Wall Street', did Jordan order his yacht captain Ted to sail to Monaco in order to bypass border patrols?""]",yes,yes
"""In the 2013 movie 'The Wolf of Wall Street', does the plane that was supposed to take Jordan and his wives to Geneva get destroyed by a seagull flying into the engine?""",yes,yes
"""In 'The Wolf of Wall Street' released in 2013, does the plane successfully take Jordan and his wives to Geneva without any incidents?""",no,no
"[""Did Jordan's wife survive in the 2013 movie 'The Wolf of Wall Street'?""]",no,yes
"[""Did Jordan attempt to address his drug addiction after his wife's death in the 2013 movie 'The Wolf of Wall Street'?""]",yes,yes
"[""In the 2013 movie 'The Wolf of Wall Street', were the characters Saurel and Koskoff arrested for crimes related to the main plot?""]",no,yes
"[""In 'The Wolf of Wall Street' released in 2013, did the characters Saurel and Koskoff get arrested for an unrelated crime?""]",yes,no
"""In the 2013 film 'The Wolf of Wall Street', did Saurel keep his knowledge about Jordan's illegal activities secret from the FBI?""",no,yes
"""In 'The Wolf of Wall Street' released in 2013, did Saurel inform the FBI about Jordan as part of a plea bargain?""",yes,no
"""In the 2013 movie 'The Wolf of Wall Street', did Jordan refuse to gather evidence from his colleagues in exchange for leniency?""",no,yes
"""In the plot of 'The Wolf of Wall Street' released in 2013, does Jordan agree to gather evidence from his colleagues in exchange for leniency?""",yes,yes
"""In the 2013 film 'The Wolf of Wall Street', did Jordan avoid using cocaine and never harm Naomi?""",no,yes
"""In 'The Wolf of Wall Street' released in 2013, does Jordan, under the influence of cocaine, try to drive away with his daughter after punching Naomi?""",yes,no
"[""In the 2013 movie 'The Wolf of Wall Street', did Jordan betray Donnie by wearing a wire to work and giving his note to the FBI?""]",no,yes
"[""In 'The Wolf of Wall Street' released in 2013, does Donnie betray Jordan by giving his note to the FBI?""]",yes,no
,,0.4375
