node_1,node_2,edge,chunk_id,count
ryan gosling,emma stone,Ryan Gosling and Emma Stone are the lead actors in the movie.,16ed5b9d692c430cbe6321a4b980225c,4
ryan gosling,john legend,Ryan Gosling and John Legend are both musicians in the movie.,16ed5b9d692c430cbe6321a4b980225c,4
emma stone,j. k. simmons,Emma Stone's character worked for J. K. Simmons' character at his restaurant.,16ed5b9d692c430cbe6321a4b980225c,4
ryan gosling,j. k. simmons,Ryan Gosling's character was fired by J. K. Simmons' character from the restaurant.,16ed5b9d692c430cbe6321a4b980225c,4
emma stone,finn wittrock,Emma Stone's character had a relationship with Finn Wittrock's character in the past.,16ed5b9d692c430cbe6321a4b980225c,4
emma stone,rosemarie dewitt,Emma Stone and Rosemarie DeWitt play siblings in the movie.,16ed5b9d692c430cbe6321a4b980225c,4
emma stone,callie hernandez,Emma Stone's character shares an apartment with Callie Hernandez's character.,16ed5b9d692c430cbe6321a4b980225c,4
emma stone,sonoya mizuno,Emma Stone's character shares an apartment with Sonoya Mizuno's character.,16ed5b9d692c430cbe6321a4b980225c,4
emma stone,jessica rothe,Emma Stone's character shares an apartment with Jessica Rothe's character.,16ed5b9d692c430cbe6321a4b980225c,4
tom everett scott,amiee conn,Tom Everett Scott and Amiee Conn play roles in the movie.,16ed5b9d692c430cbe6321a4b980225c,4
anna chazelle,sarah,Anna Chazelle played the role of Sarah in the movie.,16ed5b9d692c430cbe6321a4b980225c,4
josh pence,josh,Josh Pence played the role of Josh in the movie.,16ed5b9d692c430cbe6321a4b980225c,4
meagen fay,mia's mother,Meagen Fay played the role of Mia's mother in the movie.,16ed5b9d692c430cbe6321a4b980225c,4
damon gupton,harry,Damon Gupton played the role of Harry in the movie.,16ed5b9d692c430cbe6321a4b980225c,4
jason fuchs,carlo,Jason Fuchs played the role of Carlo in the movie.,16ed5b9d692c430cbe6321a4b980225c,4
marius de vries,clyde,Marius de Vries played the role of Clyde in the movie.,16ed5b9d692c430cbe6321a4b980225c,4
olivia hamilton,bree,Olivia Hamilton played the role of Bree in the movie.,16ed5b9d692c430cbe6321a4b980225c,4
hemky madera,jimmy,Hemky Madera played the role of Jimmy in the movie.,16ed5b9d692c430cbe6321a4b980225c,4
valarie rae miller,amy brandt,Valarie Rae Miller played the role of Amy Brandt in the movie.,16ed5b9d692c430cbe6321a4b980225c,4
miles anderson,the photographer,Miles Anderson portrayed 'The photographer' character in the movie.,16ed5b9d692c430cbe6321a4b980225c,4
