node_1,node_2,edge
three pairs of directors,project each,Charlie Wessler recruited three pairs of directors to write and direct one-third of the project each.
peter farrelly,relativity media,"In 2009, Peter Farrelly and producer John Penotti took their pitch for the movie to Relativity Media. At that meeting, Wessler, Penotti, and Farrelly presented one short that they already had shot, which led Relativity to provide $6 million for the film."
kate winslet,hugh jackman,"They presented a short starring Kate Winslet and Hugh Jackman, which led Relativity to provide $6 million for the film."
kate winslet,blind date,"In the pitch and short presented by Peter Farrelly and producer John Penotti to Relativity Media, Kate Winslet's character went on a blind date with Hugh Jackman."
other potential backers,conventional movie,"Other potential backers did not believe that a movie with Kate Winslet for $6 million could happen, as they did not believe it could be a conventional movie."
movie,four years,The movie was made over four years due to its large cast and the fact that actors had to wait for their turn to shoot.
directors,shut down,"During the four years it took to make the movie, directors would come back to shoot for a week and then shut down for several months."
writers,shut down,"During the four years it took to make the movie, writers would come back to write for a week or two years and then shut down for several months."
"parker, stone, and the zuckers",backed out,"Writers Parker, Stone, and the Zuckers backed out before shooting began."
kate winslet,halle berry,There is no clear relationship between Kate Winslet and Halle Berry in this context.
wait,shoot,strategy was simple: Wait for them. Shoot when they want to shoot.
necrophilia,mortician,Anton Yelchin as a necrophiliac mortician who worked at a hospital and had sex with the dead female bodies
