Question & Options,Correct Answer
"In which of the following aspects does the movie 'A Wednesday!' (2008) relate to Mumbai?
Options:
A. The entire film was shot on location in Mumbai
B. The movie features Mumbai as a central theme
C. Mumbai's local culture is depicted in the film
D. The production was completed in 28 days","The entire film was shot on location in Mumbai, The production was completed in 28 days"
"Which of the following statements are true regarding the production timeline of the movie 'A Wednesday!' released in 2008?
Options:
A. The movie took around eight months from casting to completion.
B. The production timeline was shorter than six months.
C. The movie was produced in less than a year.
D. The production involved extensive casting.",The movie took around eight months from casting to completion.; The movie was produced in less than a year.
"Which of the following statements are true regarding the production of the movie 'A Wednesday!' released in 2008?
Options:
A. A. The casting process was a crucial step in the production.
B. B. The movie took approximately eight months from casting to completion.
C. C. The action scenes were filmed before the casting was completed.
D. D. 'A Wednesday!' was completed in less than six months.","A, B"
"Which of the following statements are true regarding the production of the movie 'A Wednesday!' released in 2008?
Options:
A. A. The movie took approximately eight months from casting to completion.
B. B. 'A Wednesday!' was completed in less than six months.
C. C. The production process included both casting and action elements.
D. D. 'A Wednesday!' was produced over a period of about eight months.","A, C, D"
"Which of the following statements about the movie 'A Wednesday!' (2008) are true?
Options:
A. The script was inspired by real-life events.
B. The movie was released in 2006.
C. The plot includes details from the aftermath of the 11 July 2006 Mumbai train bombings.
D. The film focuses on a terrorist attack.","The script was inspired by real-life events., The plot includes details from the aftermath of the 11 July 2006 Mumbai train bombings."
"In the movie 'A Wednesday!' (2008), which of the following statements about Anjum Rizvi is correct?
Options:
A. A. Anjum Rizvi is a producer.
B. B. Anjum Rizvi approached the director with a different script.
C. C. Anjum Rizvi liked the subject and the casting.
D. D. Anjum Rizvi was involved in the film's production.","A, C, D"
"Which of the following statements are true regarding the production of the movie 'A Wednesday!' released in 2008?
Options:
A. A. UTV Motion Pictures was involved in the distribution of the film.
B. B. UTV Motion Pictures purchased the film's rights from Rizvi and Pandey.
C. C. The film was produced independently without any distributors.
D. D. UTV Motion Pictures heard of the project and took it on.","B, D"
"In the movie 'A Wednesday!' (2008), which of the following statements are true regarding Anupam Kher's role in the film?
Options:
A. Anupam Kher was one of the principal actors.
B. Anupam Kher received the script after Naseeruddin Shah.
C. Anupam Kher was the director of the film.
D. Anupam Kher was specifically chosen for his role by the writer.","Anupam Kher was one of the principal actors., Anupam Kher was specifically chosen for his role by the writer."
"In the movie 'A Wednesday!' (2008), which of the following statements are true regarding the casting of principal characters?
Options:
A. A. Naseeruddin Shah is an actor in the film.
B. B. Anupam Kher was not considered for a role in the movie.
C. C. The script was sent to both Naseeruddin Shah and Anupam Kher.
D. D. Naseeruddin Shah was a preferred choice for a principal character.","A, C, D"
"In the movie 'A Wednesday!' (2008), which of the following statements are true regarding the terrorist's workstation and its location?
Options:
A. A. The workstation was located in an under-construction building.
B. B. The workstation provided a view of the Mumbai skyline.
C. C. The terrorist's workstation was chosen from 10 other buildings.
D. D. The building was 25-storeys tall.","A, B, D"
"In the movie 'A Wednesday!' (2008), which of the following statements accurately describe the relationship between the trolley lift and the action taken by Shah?
Options:
A. A trolley lift was installed because the building had no elevators.
B. Shah used the trolley lift to avoid walking up the 25 floors.
C. Shah walked up the 25 floors every day despite the presence of the trolley lift.
D. The action taken by Shah was to install the trolley lift.",A trolley lift was installed because the building had no elevators.; Shah walked up the 25 floors every day despite the presence of the trolley lift.
