Question & Options,Correct Answer
"What actions did Kusum and Sunaina take regarding the jewelry in the context of their relationship?
Options:
A. A) Kusum stole jewelry from Sunaina.
B. B) Sunaina willingly gave her jewelry to Kusum.
C. C) Kusum left a letter in Aman's room after stealing.
D. D) Sunaina demanded her jewelry back from Kusum.","A) Kusum stole jewelry from Sunaina., B) Sunaina willingly gave her jewelry to Kusum., C) Kusum left a letter in Aman's room after stealing."
"What are the significant events involving Aman, Kartik, and Shankar in the context provided?
Options:
A. Aman confesses his love for Kartik
B. Kartik points out a flaw in Shankar's vegetables
C. Shankar physically confronts Kartik
D. All of the above",All of the above
"Which statements accurately reflect the relationships and roles among Aman, Kartik, and Shankar in the context of the movie?
Options:
A. A) Aman expresses his affection for Kartik despite familial opposition.
B. B) Kartik points out a flaw in Shankar's vegetables, reflecting Shankar's character.
C. C) Shankar learns about the Supreme Court's ruling on homosexuality.
D. D) Aman and Shankar are in a romantic relationship.","A) Aman expresses his affection for Kartik despite familial opposition., B) Kartik points out a flaw in Shankar's vegetables, reflecting Shankar's character., C) Shankar learns about the Supreme Court's ruling on homosexuality."
"What are the dynamics of the relationships among Aman, Kartik, and Shankar in the context of their past lovers?
Options:
A. Aman expresses his feelings for Kartik despite family objections.
B. Kartik points out a flaw in Shankar's vegetable, reflecting Shankar's character.
C. Shankar has conflicts with his spouse regarding their previous relationships.
D. All of the above",All of the above
"Which relationships are depicted in the context of the movie involving Aman, Kartik, Shankar, and the bride?
Options:
A. A) Aman loves Kartik despite family disapproval.
B. B) Kartik points out a flaw in Shankar's vegetables.
C. C) Shankar is suspicious of the disguised bride.
D. D) All of the above",D) All of the above
"What relationships exist among Aman, Kartik, and Shankar based on the provided context?
Options:
A. Aman and Kartik have a strong relationship.
B. Shankar's nature is reflected in the flaw of his vegetable.
C. Shankar has a confrontational relationship with Kartik.
D. All of the above",All of the above
"What relationships and roles can be inferred from the interactions among Aman, Kartik, and Shankar in the context provided?
Options:
A. Aman and Kartik have a strong relationship and are determined to live happily.
B. Kartik helps Shankar by pointing out flaws, which reflects on Shankar's character.
C. Shankar learns about the Supreme Court's judgment on homosexuality, which is significant to the narrative.
D. All of the above",All of the above
"What relationships can be inferred from the context involving Aman, Kartik, and Shankar?
Options:
A. A) Aman and Kartik share a strong bond and are committed to living happily.
B. B) Kartik helps Shankar by revealing a flaw that reflects Shankar's nature.
C. C) Shankar has conflicts with his spouse regarding past relationships.
D. D) All of the above",D) All of the above
"What relationships can be inferred from the context of the characters in 'Shubh Mangal Zyada Saavdhan'?
Options:
A. A) Aman and Kartik share a strong relationship.
B. B) Kartik is a friend of Shankar.
C. C) Shankar is suspicious of the bride during the wedding ceremony.
D. D) All of the above.",D) All of the above.
"What roles do Goggle, Aman, and Kartik play in the context of the story?
Options:
A. A) Goggle assists Aman and Kartik in a critical situation.
B. B) Aman expresses his love for Kartik despite family objections.
C. C) Kartik intervenes to stop a suicide attempt.
D. D) All of the above",D) All of the above
"What roles do Goggle, Aman, and Kartik play in the context of family support and love in the film?
Options:
A. A) Goggle helps Aman and Kartik with their challenges.
B. B) Aman expresses his love for Kartik against family wishes.
C. C) Kartik supports Goggle in acknowledging her family's help.
D. D) All of the above",D) All of the above
"Which statements accurately describe the relationships among the characters in the context provided?
Options:
A. A) Goggle assists Aman and Kartik in uncovering the truth about Kusum's theft.
B. B) Aman expresses his love for Kartik despite facing family opposition.
C. C) Kartik highlights a flaw in Shankar's vegetables, reflecting Shankar's personality.
D. D) Goggle is a character who has no involvement with Aman and Kartik.","A) Goggle assists Aman and Kartik in uncovering the truth about Kusum's theft., B) Aman expresses his love for Kartik despite facing family opposition., C) Kartik highlights a flaw in Shankar's vegetables, reflecting Shankar's personality."
"Which actions demonstrate the relationships between Aman, Kartik, and Goggle in the context of the story?
Options:
A. A) Goggle assists Aman and Kartik in uncovering the truth.
B. B) Aman and Kartik share a strong bond and strive for happiness together.
C. C) Kartik intervenes to stop someone from committing suicide.
D. D) Goggle is responsible for preventing someone from harming themselves.","A) Goggle assists Aman and Kartik in uncovering the truth., B) Aman and Kartik share a strong bond and strive for happiness together., C) Kartik intervenes to stop someone from committing suicide."
"What roles do Goggle, Aman, and Kartik play in the context of family support and relationships in the narrative?
Options:
A. A) Goggle assists Aman and Kartik in resolving issues.
B. B) Aman and Kartik have a strong bond and are determined to live happily.
C. C) Kartik motivates Goggle to accept help from her family.
D. D) Goggle is indifferent to the support offered by her family.","A) Goggle assists Aman and Kartik in resolving issues., B) Aman and Kartik have a strong bond and are determined to live happily., C) Kartik motivates Goggle to accept help from her family."
"What can be inferred about the relationships among Goggle, Aman, Kartik, and Shankar?
Options:
A. A) Goggle assists Aman and Kartik in resolving a conflict.
B. B) Aman and Kartik share a close bond and desire a happy life together.
C. C) Kartik provides insights about Shankar's character through his vegetables.
D. D) All of the above",D) All of the above
"What roles do the characters play in the context of the movie?
Options:
A. Aman is arrested by the police.
B. Kartik expresses his love for Aman.
C. Kartik intervenes to stop a suicide attempt.
D. All of the above",All of the above
