Question,Answer,generated_answer
"[""Does the movie 'Fifty Shades Darker 2016' depict Christian and Ana as siblings?""]",no,yes
"[""In the movie 'Fifty Shades Darker 2016', does Christian take Ana to a beauty salon owned by Elena Lincoln, his former dominant?""]",yes,yes
"[""Did Leila vandalize Ana's car in the movie Fifty Shades Darker 2016 because she was angry at Ana?""]",no,yes
"[""In the movie Fifty Shades Darker 2016, did Leila, after her husband's death, stalk Christian and vandalize Ana's car?""]",yes,yes
"[""Did Leila marry Christian in the movie 'Fifty Shades Darker 2016'?""]",no,yes
"[""Does Christian know Leila from a past background in the movie 'Fifty Shades Darker 2016'?""]",yes,yes
"[""In the movie 'Fifty Shades Darker 2016', did Mia, Christian's sister, mention that he was a straight-A student?""]",no,yes
"[""In 'Fifty Shades Darker 2016', did Christian's sister Mia reveal at the ball that he was expelled from four different schools for brawling?""]",yes,yes
"[""Did Dr. Grace Trevelyan-Grey, in the movie 'Fifty Shades Darker 2016', ignore Christian after his biological mother overdosed and died?""]",no,yes
"[""In the movie 'Fifty Shades Darker 2016', did Dr. Grace Trevelyan-Grey take care of Christian after his biological mother's overdose?""]",yes,yes
"Did Ana refuse to go to the expo with Jack in the movie ""Fifty Shades Darker 2016"", causing tension between her and Christian?",yes,yes
"In the movie ""Fifty Shades Darker 2016"", did Ana attend the expo with Jack, causing harmony between her and Christian?",no,yes
"[""Does Christian in 'Fifty Shades Darker 2016' get fired and replaced by Ana?""]",no,yes
"[""In 'Fifty Shades Darker 2016', does Christian ask Ana to move in with him?""]",yes,yes
"[""Did Christian in 'Fifty Shades Darker 2016' overhear Elena praising Ana for her generosity?""]",no,yes
"[""In the movie 'Fifty Shades Darker 2016', did Christian overhear Elena accusing Ana of being a gold digger?""]",yes,yes
"[""Did Christian learn cooking from Elena in the movie 'Fifty Shades Darker 2016'?""]",no,yes
"[""In the movie 'Fifty Shades Darker 2016', did Christian overhear Elena and tell Ana that Elena taught him 'how to fuck'?""]",yes,yes
"[""Does Ana reject Christian's formal proposal in the movie 'Fifty Shades Darker 2016'?""]",no,yes
"[""Does Christian formally propose to Ana in the plot of 'Fifty Shades Darker 2016'?""]",yes,yes
"[""Did Elena teach Christian 'how to cook' in the movie 'Fifty Shades Darker 2016'?""]",no,yes
"[""In the movie 'Fifty Shades Darker 2016', did Grace demand Elena to leave after overhearing Christian's dismissive comment about her teaching Christian 'how to fuck'?""]",yes,yes
