Question & Options,Correct Answer
"Which of the following statements are true about the soundtrack of the movie 'The Kashmir Files' released in 2022?
Options:
A. A. The soundtrack features multiple instrumental themes.
B. B. The theme from 'The Kashmir Files' is vocal-based.
C. C. Both themes from the movie are instrumental.
D. D. The soundtrack reflects the movie's themes.","A, C, D"
"Which of the following themes are instrumental pieces from the soundtrack of the movie 'The Kashmir Files' released in 2022?
Options:
A. al jihad
B. freedom
C. sorrow
D. hope",al jihad
"Which of the following statements are true regarding the soundtrack of the movie 'The Kashmir Files' released in 2022?
Options:
A. A. 'Brahma Dutt's Theme' is an instrumental piece from the soundtrack.
B. B. The soundtrack features vocal performances by the main cast.
C. C. Both 'Brahma Dutt's Theme' and 'Brahma Dutt's Theme' are instrumental themes in the movie.
D. D. The soundtrack includes themes that reflect the emotional depth of the film.","A, C, D"
"Which of the following themes are instrumental in the soundtrack of the movie 'The Kashmir Files' released in 2022?
Options:
A. azadi
B. freedom
C. sorrow
D. hope","azadi, freedom"
"Which of the following statements are true regarding the soundtrack of the movie 'The Kashmir Files' released in 2022?
Options:
A. A. 'Krishna's theme' is an instrumental piece featured in the soundtrack.
B. B. 'Krishna's theme' is a vocal track performed by a famous singer.
C. C. Both 'Krishna's theme' and 'Krishna's theme' are instrumental themes from the soundtrack.
D. D. The soundtrack includes multiple instrumental themes.","A, C, D"
"Which of the following themes are instrumental pieces from the soundtrack of the movie 'The Kashmir Files' released in 2022?
Options:
A. raliv
B. galiv
C. ya
D. chaliv","raliv, galiv, ya, chaliv"
"In the movie 'The Kashmir Files' (2022), which of the following statements are true regarding the song 'Hum Dekhenge (Unplugged Version)' and its lyricist Faiz Ahmad Faiz?
Options:
A. Faiz Ahmad Faiz wrote the lyrics for 'Hum Dekhenge (Unplugged Version)'
B. Faiz Ahmad Faiz is known for his contributions to Indian cinema
C. The song 'Hum Dekhenge (Unplugged Version)' is a famous protest anthem
D. Faiz Ahmad Faiz was a notable poet from Pakistan","Faiz Ahmad Faiz wrote the lyrics for 'Hum Dekhenge (Unplugged Version)', Faiz Ahmad Faiz was a notable poet from Pakistan"
"Which of the following statements are true regarding the soundtrack of the movie 'The Kashmir Files' released in 2022?
Options:
A. A. 'Hum Dekhenge (Unplugged Version)' is part of the soundtrack.
B. B. Swapnil Bandodkar is the composer for 'Hum Dekhenge (Unplugged Version)'.
C. C. The soundtrack was composed by multiple artists.
D. D. 'The Kashmir Files' features a song by Swapnil Bandodkar.","A, B, D"
"Which of the following statements are true regarding the soundtrack of the movie 'The Kashmir Files' released in 2022?
Options:
A. Pallavi Joshi is one of the singers for 'Hum Dekhenge (Unplugged Version)'
B. The soundtrack features music from various artists
C. The movie 'The Kashmir Files' is a romantic comedy
D. The unplugged version of 'Hum Dekhenge' is part of the film's soundtrack","Pallavi Joshi is one of the singers for 'Hum Dekhenge (Unplugged Version)', The unplugged version of 'Hum Dekhenge' is part of the film's soundtrack"
"Which of the following statements are true regarding the soundtrack of the movie 'The Kashmir Files' released in 2022?
Options:
A. Shahzad Ali is one of the singers for 'Hum Dekhenge (Unplugged Version)'
B. The soundtrack features only instrumental music
C. The song 'Hum Dekhenge (Unplugged Version)' is part of the movie's soundtrack
D. Shahzad Ali has no connection to the movie's soundtrack","Shahzad Ali is one of the singers for 'Hum Dekhenge (Unplugged Version)', The song 'Hum Dekhenge (Unplugged Version)' is part of the movie's soundtrack"
"Which of the following statements are true regarding the soundtrack of the movie 'The Kashmir Files' released in 2022?
Options:
A. A. 'Hum Dekhenge (Unplugged Version)' is sung by Salman Ali.
B. B. Salman Ali is known for his work in Bollywood movies.
C. C. 'The Kashmir Files' features multiple artists in its soundtrack.
D. D. 'Hum Dekhenge (Unplugged Version)' is a part of the movie's soundtrack.","A, C, D"
"Which of the following statements are true regarding the soundtrack of the movie 'The Kashmir Files' released in 2022?
Options:
A. A. Meghna Mishra performed the unplugged version of 'Hum Dekhenge'.
B. B. 'Hum Dekhenge (Unplugged Version)' is featured in the soundtrack of 'The Kashmir Files'.
C. C. The soundtrack of 'The Kashmir Files' was composed by A.R. Rahman.
D. D. 'Hum Dekhenge (Unplugged Version)' is sung by Meghna Mishra.","A, B, D"
"Which of the following statements are true regarding the soundtrack of the movie 'The Kashmir Files' released in 2022?
Options:
A. Ananya Wadkar is one of the singers for 'Hum Dekhenge (Unplugged Version)'
B. The soundtrack features only instrumental pieces
C. The song 'Hum Dekhenge (Unplugged Version)' is part of the movie's soundtrack
D. Ananya Wadkar has sung multiple songs for 'The Kashmir Files'","Ananya Wadkar is one of the singers for 'Hum Dekhenge (Unplugged Version)', The song 'Hum Dekhenge (Unplugged Version)' is part of the movie's soundtrack"
"Which of the following statements are true regarding the soundtrack of the movie 'The Kashmir Files' released in 2022?
Options:
A. Faiz Ahmad Faiz wrote the lyrics for 'Hum Dekhenge'.
B. The song 'Hum Dekhenge' is featured in 'The Kashmir Files'.
C. Faiz Ahmad Faiz is known for his work in Bollywood films.
D. The soundtrack includes traditional Kashmiri music.","Faiz Ahmad Faiz wrote the lyrics for 'Hum Dekhenge'., The song 'Hum Dekhenge' is featured in 'The Kashmir Files'."
"Which of the following statements are true regarding the soundtrack of 'The Kashmir Files' (2022)?
Options:
A. A. Swapnil Bandodkar composed 'Hum Dekhenge' for the movie.
B. B. 'Hum Dekhenge' is a song featured in 'The Kashmir Files'.
C. C. The movie 'The Kashmir Files' was released in 2020.
D. D. 'Hum Dekhenge' is part of the soundtrack of 'The Kashmir Files'.","A, B, D"
