Question & Options,Correct Answer
"In the movie 'Pyaar Ka Punchnama 2' (2014), which of the following characters are main bachelors involved in the plot?
Options:
A. Anshul 'Gogo' Sharma
B. Siddharth 'Sid' Gandotra aka Chauka
C. Tarun Thakur
D. Rajesh Khanna","Anshul 'Gogo' Sharma, Siddharth 'Sid' Gandotra aka Chauka, Tarun Thakur"
"In the movie 'Pyaar Ka Punchnama 2' (2014), which of the following statements are true regarding the relationship between Anshul 'Gogo' Sharma and Ruchika 'Chiku' Khanna?
Options:
A. A. Gogo is in love with Chiku.
B. B. Chiku is Gogo's childhood friend.
C. C. Gogo and Chiku have a romantic relationship.
D. D. Gogo initially dislikes Chiku.","A, C"
"In the movie 'Pyaar Ka Punchnama 2' (2014), which of the following statements about the relationship between Chiku and Sunny is true?
Options:
A. Chiku and Sunny share a close friendship.
B. Chiku is romantically involved with Sunny.
C. Sunny supports Chiku in difficult times.
D. Chiku often confides in Sunny.","Chiku and Sunny share a close friendship., Sunny supports Chiku in difficult times., Chiku often confides in Sunny."
"In the movie 'Pyaar Ka Punchnama 2' (2014), which of the following statements are true regarding Supriya Agarwal and Chauka's relationship?
Options:
A. Supriya introduces Chauka as a close friend to her family.
B. Chauka feels irritated when Supriya refers to him as just another common friend.
C. Supriya and Chauka have a romantic relationship.
D. Chauka is not comfortable with how Supriya presents him to her family.","Chauka feels irritated when Supriya refers to him as just another common friend., Chauka is not comfortable with how Supriya presents him to her family."
"In the movie 'Pyaar Ka Punchnama 2' (2014), which of the following statements are true regarding Kusum Singh's relationship with Thakur's money?
Options:
A. A) Kusum Singh is financially independent.
B. B) Kusum Singh uses Thakur's money to fulfill her needs.
C. C) Thakur's money is used by Kusum for personal desires.
D. D) Kusum Singh does not care about Thakur's money.","B, C"
"In the movie 'Pyaar Ka Punchnama 2' (2014), which of the following statements are true regarding the relationship between Chiku and Sunny?
Options:
A. Chiku drives Sunny out of her house
B. Sunny is Chiku's love interest
C. Chiku and Sunny have a friendly relationship
D. Chiku helps Sunny with her problems","Chiku drives Sunny out of her house, Sunny is Chiku's love interest"
"In the movie 'Pyaar Ka Punchnama 2' (2014), which of the following statements are true regarding Supriya Agarwal's relationship with Thakur?
Options:
A. A. Supriya confesses her love for Siddharth to her father.
B. B. Thakur supports Supriya's decision to marry Siddharth.
C. C. Supriya's proposal is accepted by her father.
D. D. Thakur firmly rejects Supriya's wish to marry Siddharth.","A, D"
"In the movie 'Pyaar Ka Punchnama 2' (2014), which of the following statements accurately describe Kusum Singh's attitude towards money?
Options:
A. A. Kusum believes that everyone should spend their own money.
B. B. Kusum encourages her friends to share their finances.
C. C. Kusum is cautious about financial matters.
D. D. Kusum insists that relationships should not affect spending habits.","A, C, D"
"In the movie 'Pyaar Ka Punchnama 2' (2014), which of the following statements about Supriya and Siddharth's relationship are true?
Options:
A. Supriya spends the night with Siddharth.
B. Supriya's father supports Siddharth.
C. Supriya testifies against Siddharth due to her father's pressure.
D. Siddharth and Supriya end up together.","Supriya spends the night with Siddharth., Supriya testifies against Siddharth due to her father's pressure."
"In the movie 'Pyaar Ka Punchnama 2' (2014), which of the following statements accurately describe the relationship between Thakur and Kusum?
Options:
A. Thakur is encouraged by Kusum to start his own website.
B. Kusum provides financial support to Thakur for his new venture.
C. Thakur resigns from his job to pursue his passion.
D. Kusum believes that Thakur's website will benefit them both if it succeeds.","Thakur is encouraged by Kusum to start his own website., Thakur resigns from his job to pursue his passion., Kusum believes that Thakur's website will benefit them both if it succeeds."
"In the movie 'Pyaar Ka Punchnama 2' (2014), which of the following statements are true regarding the relationship between Gogo and Chiku?
Options:
A. Gogo breaks up with Chiku after hearing her flatmates' advice.
B. Chiku drives Sunny out of her house.
C. Gogo expresses his love for Chiku by saying 'I love you'.
D. Gogo believes that 'I love you' are the most expensive words.","Gogo breaks up with Chiku after hearing her flatmates' advice., Chiku drives Sunny out of her house., Gogo expresses his love for Chiku by saying 'I love you'."
"In the movie 'Pyaar Ka Punchnama 2' (2014), which of the following statements are true regarding the speaker's principle about favours?
Options:
A. The speaker believes in repaying favours.
B. The speaker has no obligation to repay any favours.
C. The speaker must repay more than eighty-five thousand rupees.
D. The speaker enjoys accepting favours from others.","The speaker believes in repaying favours., The speaker must repay more than eighty-five thousand rupees."
"In the movie 'Pyaar Ka Punchnama 2' (2014), which of the following themes are portrayed in the conclusion of the film?
Options:
A. The importance of friendship
B. The pursuit of happiness
C. Isolation in relationships
D. Contentment in solitude","The importance of friendship, The pursuit of happiness, Contentment in solitude"
