Question & Options,Correct Answer
"What can be said about the relationships between Aisha, Dev, and Anu in the context of their romantic history?
Options:
A. Aisha and Dev were in a romantic relationship.
B. Dev married Anu after his divorce from Aisha.
C. Aisha and Dev experienced a miscarriage during their marriage.
D. All of the above",All of the above
"What can be said about the relationship between Aisha and Dev in the context of their story?
Options:
A. They fell in love and got married.
B. They experienced a miscarriage.
C. They were separated for a year before reuniting.
D. All of the above",All of the above
"What significant events are associated with Aisha and Dev in relation to Aisha's novel?
Options:
A. Aisha and Dev fall in love and get married.
B. Dev has read Aisha's novel multiple times.
C. Aisha experiences a miscarriage.
D. Aisha's novel is a bestseller.","Aisha and Dev fall in love and get married, Dev has read Aisha's novel multiple times, Aisha experiences a miscarriage."
"What can be inferred about the relationships between Anu and Dev in the context of the movie 'Jalebi'?
Options:
A. Anu is the mother of Pulti.
B. Dev is not Pulti's biological father.
C. Anu and Dev got married after Dev's divorce.
D. Anu had a boyfriend who is Pulti's father.","b) Dev is not Pulti's biological father. 
 c) Anu and Dev got married after Dev's divorce. 
 d) Anu had a boyfriend who is Pulti's father."
"What relationships are established between Anu, Dev, and Aisha in the context of their personal lives?
Options:
A. Anu is the mother of Pulti.
B. Dev and Aisha were once married.
C. Pulti is not Dev's biological child.
D. Anu and Dev are in a romantic relationship.",b) Dev and Aisha were once married.
"What do Anu and Dev have in common regarding Aisha's novel?
Options:
A. Anu has a personal connection to the characters in Aisha's novel.
B. Dev has read Aisha's novel multiple times.
C. Anu's boyfriend is mentioned in Aisha's novel.
D. Dev and Aisha are both involved in the literary community.",b) Dev has read Aisha's novel multiple times.
"Which of the following statements are true regarding the relationships between Aisha, Dev, and Anu?
Options:
A. Aisha was upset with Dev for naming their daughter Disha.
B. Dev was married to Aisha before marrying Anu.
C. Anu married Dev after his divorce from Aisha.
D. Aisha and Anu are friends.",Aisha was upset with Dev for naming their daughter Disha. Dev was married to Aisha before marrying Anu. Anu married Dev after his divorce from Aisha.
"What can be inferred about the relationship between Aisha and Dev in the context of their daughter?
Options:
A. Aisha is unhappy with the name given to their daughter.
B. Dev and Aisha have a history as former spouses.
C. Aisha and Dev have been separated for a year.
D. Aisha is supportive of Dev's choices.",Aisha is unhappy with the name given to their daughter.
"What can be inferred about Aisha and Dev's relationship based on their interactions?
Options:
A. Aisha is upset with Dev's choice of their daughter's name.
B. Dev appreciates Aisha's literary work.
C. Aisha has written a novel.
D. Dev and Aisha have a daughter named Disha.",All of the above
"What can be inferred about the relationships between Aisha, Dev, and Anu?
Options:
A. Aisha is aware of Dev's feelings for her.
B. Dev was previously married to Aisha.
C. Dev and Anu got married after a significant period.
D. All of the above",All of the above
"What can be inferred about the relationship between Aisha and Dev in the context of their reunion?
Options:
A. Aisha is grateful to Dev for their past relationship.
B. Dev still has feelings for Aisha.
C. Aisha and Dev were married.
D. Aisha and Dev have been separated for a year.",All of the above
"What do Aisha and Dev share in relation to Aisha's novel?
Options:
A. Aisha expresses gratitude to Dev.
B. Dev has read Aisha's novel multiple times.
C. Aisha is aware of Dev's feelings for her.
D. All of the above",All of the above
"What significant events are associated with Disha, Aisha, and Dev?
Options:
A. a) Aisha and Dev chose the name Disha for their baby girl.
B. b) Aisha and Dev experienced a miscarriage.
C. c) Aisha and Dev fell in love and got married.
D. d) Disha was born healthy.",a) Aisha and Dev chose the name Disha for their baby girl. and b) Aisha and Dev experienced a miscarriage. and c) Aisha and Dev fell in love and got married.
"What can be inferred about the relationship between Disha, Aisha, and Dev in the context of their family dynamics?
Options:
A. Aisha was upset about the name Disha.
B. Dev chose the name Disha for their daughter.
C. Disha was the name of Aisha and Dev's baby girl.
D. All of the above",All of the above
"Which characters are involved in the emotional journey surrounding Disha's name in the story?
Options:
A. Disha
B. Aisha
C. Dev
D. All of the above",All of the above
"What significant events occurred in the relationship between Dev and Aisha?
Options:
A. They were former spouses who reunited after a year of separation.
B. They fell in love, got married, and had a miscarriage.
C. They had a child together.
D. They attended counseling to resolve their issues.","They were former spouses who reunited after a year of separation. and They fell in love, got married, and had a miscarriage."
"What is true about the relationship between Dev and Aisha in the movie?
Options:
A. Dev and Aisha are former spouses.
B. Dev and Aisha reunite after a year of separation.
C. Aisha feels upset about their daughter's name.
D. All of the above",All of the above
"What is the relationship between Dev and Aisha in the context of their reunion?
Options:
A. They were former spouses.
B. Dev still has feelings for Aisha.
C. They have been separated for a year.
D. All of the above",All of the above
"What can be inferred about the relationships between Dev, Anu, and Pulti?
Options:
A. Dev was previously married to Aisha.
B. Anu has a child named Pulti.
C. Pulti is actually the child of Anu's boyfriend.
D. Anu and Dev have been together for seven years.",All of the above
"What are the significant connections between Pulti, Disha, and Aisha in the context of their relationships?
Options:
A. Pulti's given name is Disha.
B. Aisha feels upset about Pulti's name revelation.
C. Disha was the name chosen for Aisha and Dev's baby girl.
D. All of the above",All of the above
"What relationships are established regarding the names Disha and Aisha in the context of Pulti?
Options:
A. Pulti's given name is Disha.
B. Aisha and Dev chose the name Disha for their baby girl.
C. Disha was a condition set by Dev before marriage.
D. All of the above",All of the above
