Question & Options,Correct Answer
"""Who portrayed the character Brenda Lopez in the 2022 movie 'Moonfall'?""
Options:
A. [""Halle Berry""]
B. [""Patrick Wilson""]
C. [""John Bradley""]
D. [""Carolina Bartczak""]","[""Carolina Bartczak""]"
"[""In the 2022 movie 'Moonfall', who does the character Brenda Lopez, portrayed by Carolina Bartczak, currently live with?""]
Options:
A. [""Her son""]
B. [""Her new husband Tom""]
C. [""Her sister""]
D. [""Her ex-husband""]","[""Her new husband Tom""]"
"[""In the 2022 movie 'Moonfall', who does Eme Ikwuakor portray?""]
Options:
A. [""Doug Davidson""]
B. [""Tom Cruise""]
C. [""Chris Evans""]
D. [""Robert Downey Jr.""]","[""Doug Davidson""]"
"""In the 2022 movie 'Moonfall', what is the character name portrayed by Eme Ikwuakor?""
Options:
A. [""Doug Davidson""]
B. [""Jocinda""]
C. [""John Doe""]
D. [""James Bond""]","[""Doug Davidson""]"
"[""In the 2022 movie 'Moonfall', who portrayed the character Sgt. Gabriella Auclair?""]
Options:
A. [""Halle Berry""]
B. [""Patrick Wilson""]
C. [""Michael Peña""]
D. [""Maxim Roy""]","[""Maxim Roy""]"
"""In the 2022 movie 'Moonfall', which character is portrayed by Frank Schorpion?""
Options:
A. [""General Jenkins""]
B. [""Captain Marvel""]
C. [""Superman""]
D. [""Thor""]","[""General Jenkins""]"
"[""In the 2022 movie 'Moonfall', who does Stephen Bogaert portray?""]
Options:
A. [""NASA Director Albert Hutchings""]
B. [""President of the United States""]
C. [""Astronaut John C. Stennis""]
D. [""Alien Invader""]","[""NASA Director Albert Hutchings""]"
"[""In the 2022 film 'Moonfall', who portrayed the character of Colonel Reed?""]
Options:
A. [""Halle Berry""]
B. [""Patrick Wilson""]
C. [""John Bradley""]
D. [""Andreas Apergis""]","[""Andreas Apergis""]"
"""Who portrays the character Elaine Houseman in the 2022 movie 'Moonfall'?""
Options:
A. [""Emma Watson""]
B. [""Kathleen Fee""]
C. [""Jennifer Aniston""]
D. [""Scarlett Johansson""]","[""Kathleen Fee""]"
"[""In the 2022 movie 'Moonfall', who does the character Zayn Maloney portray?""]
Options:
A. [""Jocinda""]
B. [""Doug""]
C. [""Jimmy""]
D. [""No one""]","[""Jimmy""]"
"[""In the 2022 movie 'Moonfall', who does the character Ava Weiss portray?""]
Options:
A. [""Brenda""]
B. [""Tom""]
C. [""Nikki Lopez""]
D. [""None of the above""]","[""Nikki Lopez""]"
"[""In the 2022 movie 'Moonfall', who does the character Hazel Nugent portray?""]
Options:
A. [""Brenda""]
B. [""Tom""]
C. [""Lauren Lopez""]
D. [""None of the above""]","[""Lauren Lopez""]"
