node_1,node_2,edge
the voyage of doctor dolittle,robert downey jr.,"In March 2017, Robert Downey Jr. Was cast to star in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,harry collett,"In December, Harry Collett was also cast in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,jim broadbent,"In December, Harry Collett and Jim Broadbent were also cast in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,antonio banderas,"In February 2018, Antonio Banderas was added to the live-action cast in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,michael sheen,"In February 2018, Antonio Banderas and Michael Sheen were added to the live-action cast in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,tom holland,"In February 2018, Tom Holland was cast to voice an animal in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,emma thompson,"In February 2018, Emma Thompson was cast to voice an animal in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,ralph fiennes,"In February 2018, Ralph Fiennes was cast to voice an animal in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,selena gomez,"In February 2018, Selena Gomez was cast to voice an animal in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,kumail nanjiani,"In March 2019, Kumail Nanjiani signed on for a voice role in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,octavia spencer,"In March 2019, Octavia Spencer signed on for a voice role in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,john cena,"In March 2019, John Cena signed on for a voice role in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,rami malek,"In March 2019, Rami Malek signed on for a voice role in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,craig robinson,"In March 2019, Craig Robinson signed on for a voice role in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,marion cotillard,"In March 2019, Marion Cotillard signed on for a voice role in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,frances de la tour,"In March 2019, Frances de la Tour signed on for a voice role in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,carmen ejogo,"In March 2019, Carmen Ejogo signed on for a voice role in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,dolittle,Title change from The Voyage of Doctor Dolittle to simply Dolittle in August.
seth rogen,neighbors co-writer brendan o'brien,"Prior to this, Universal had turned towards Seth Rogen and Neighbors co-writer Brendan O'Brien to help add comedy to the film, but neither could remain committed to the project and dropped out."
william price,welsh neo-pagan physician,Experience said that the inspiration for the Dr. Dolittle character stemmed from a Welsh neo-pagan physician called William Price.
william price,neo-druidist,"Experience said that the inspiration for the Dr. Dolittle character stemmed from a Welsh neo-pagan physician called William Price, who was a neo-druidist."
sia,new song,"Music artist Sia performed a new song of hers, 'Original', for the end credits."
danny elfman,film's score,Experience mentioned that composer Danny Elfman composed the film's score.
