Question & Options,Correct Answer
"In the 2022 movie 'Brahmāstra: Part One – Shiva', what is the relationship between Amitabh Bachchan's character Raghu aka 'Guruji' and Brahmānsh?
Options:
A. Guruji is a member of Brahmānsh.
B. Guruji is the leader of Brahmānsh.
C. Guruji is an enemy of Brahmānsh.
D. Guruji has no connection to Brahmānsh.",Guruji is the leader of Brahmānsh.
"In the movie 'Brahmāstra: Part One – Shiva' (2022), what is the relationship between Ranbir Kapoor's character and Shiva?
Options:
A. Shiva is Ranbir Kapoor's mentor.
B. Shiva is the son of Amrita and Dev.
C. Shiva is a rival of Ranbir Kapoor's character.
D. Shiva is a magical creature that Ranbir Kapoor must defeat.",Shiva is the son of Amrita and Dev.
"In the movie 'Brahmāstra: Part One – Shiva' (2022), what is the relationship between Nivaan Gupta and Baby Shiva?
Options:
A. Nivaan Gupta is the mentor of Baby Shiva.
B. Baby Shiva is the younger version of Shiva, who is associated with Nivaan Gupta.
C. Nivaan Gupta is the brother of Baby Shiva.
D. Baby Shiva is the enemy of Nivaan Gupta.","Baby Shiva is the younger version of Shiva, who is associated with Nivaan Gupta."
"In the movie 'Brahmāstra: Part One – Shiva' (2022), what is the relationship between Alia Bhatt's character and Isha Chatterjee?
Options:
A. Isha Chatterjee is Shiva's sister.
B. Isha Chatterjee is an NRI from London and Shiva's girlfriend.
C. Isha Chatterjee is a rival of Shiva.
D. Isha Chatterjee is a mentor to Shiva.",Isha Chatterjee is an NRI from London and Shiva's girlfriend.
"In the 2022 movie 'Brahmāstra: Part One – Shiva', what is the role of Mouni Roy's character, Junoon?
Options:
A. A hero who protects Shiva
B. Dev's right-hand woman who aims to revive the Brahmāstra
C. A mentor guiding Shiva on his journey
D. A villain seeking revenge against Dev",Dev's right-hand woman who aims to revive the Brahmāstra
"In the movie 'Brahmāstra: Part One – Shiva' (2022), what is Anish Shetty's role in relation to the Nandi Āstra?
Options:
A. He is a villain who seeks to control it.
B. He is an artist, architect, and archaeologist who wields it.
C. He is a mentor to the main character.
D. He is a historical figure referenced in the story.","He is an artist, architect, and archaeologist who wields it."
"In the movie 'Brahmāstra: Part One – Shiva' (2022), what is the relationship between Dimple Kapadia's character and Savitri Devi?
Options:
A. Savitri Devi is a mentor to Dimple Kapadia's character.
B. Dimple Kapadia is Savitri Devi's sister.
C. Savitri Devi is a member of Brahmānsh.
D. Dimple Kapadia is the antagonist against Savitri Devi.",Savitri Devi is a member of Brahmānsh.
"In the 2022 movie 'Brahmāstra: Part One – Shiva', what is the relationship between Gurfateh Pirzada and Sher?
Options:
A. Sher is a mentor to Gurfateh Pirzada.
B. Sher is a new recruit of Brahmānsh who wields the Nāg Dhanush.
C. Gurfateh Pirzada is Sher's rival.
D. Gurfateh Pirzada and Sher are siblings.",Sher is a new recruit of Brahmānsh who wields the Nāg Dhanush.
"In the 2022 movie 'Brahmāstra: Part One – Shiva', what is the relationship between Stanzin Delek and Tensing?
Options:
A. Tensing is the mentor of Stanzin Delek.
B. Tensing is a new recruit of Brahmānsh who wielded the Pawanāstra.
C. Stanzin Delek is an antagonist to Tensing.
D. Stanzin Delek and Tensing are siblings.",Tensing is a new recruit of Brahmānsh who wielded the Pawanāstra.
"In the 2022 movie 'Brahmāstra: Part One – Shiva', what is Raveena's role within the Brahmānsh?
Options:
A. She is the leader of the Brahmānsh.
B. She is a new recruit who wields the Gajāstra.
C. She is an antagonist opposing the Brahmānsh.
D. She is a mentor to Lehar Khan.",She is a new recruit who wields the Gajāstra.
"In the 2022 movie 'Brahmāstra: Part One – Shiva', what is the relationship between Aditi Joshi and Rani?
Options:
A. Aditi Joshi is Rani's mentor in Brahmānsh.
B. Rani is a new recruit of Brahmānsh who possesses Āyu Madrikā.
C. Aditi Joshi and Rani are rivals in the story.
D. Rani is Aditi Joshi's sister.",Rani is a new recruit of Brahmānsh who possesses Āyu Madrikā.
