Question & Options,Correct Answer
"Which of the following statements accurately describe the details of the movie 'Ajnabee' released in 2001?
Options:
A. Ajnabee is a thriller film that explores themes of deception and betrayal.
B. The movie features a love triangle that leads to unexpected consequences.
C. Ajnabee is a comedy that focuses on the life of a detective.
D. The film includes a significant plot twist that reveals the true identities of the characters.",Ajnabee is a thriller film that explores themes of deception and betrayal.; The movie features a love triangle that leads to unexpected consequences.; The film includes a significant plot twist that reveals the true identities of the characters.
"Which of the following statements are true about the movie 'Ajnabee' released in 2001?
Options:
A. Ajnabee is directed by Abbas–Mustan.
B. Ajnabee is a romantic comedy film.
C. Ajnabee is an Indian Hindi-language action thriller film.
D. The film was produced by Vijay Galani.","Ajnabee is directed by Abbas–Mustan., Ajnabee is an Indian Hindi-language action thriller film., The film was produced by Vijay Galani."
"Which of the following statements are true regarding the movie 'Ajnabee' released in 2001?
Options:
A. A. 'Ajnabee' was directed by Abbas–Mustan.
B. B. 'Ajnabee' is a romantic comedy.
C. C. Abbas–Mustan are known for their work in the thriller genre.
D. D. 'Ajnabee' features a plot centered around deception and betrayal.","A, C, D"
"Which of the following statements are true regarding the movie 'Ajnabee' released in 2001?
Options:
A. A. 'Ajnabee' was produced by Vijay Galani.
B. B. 'Ajnabee' is a romantic comedy.
C. C. The movie features a plot involving deception.
D. D. 'Ajnabee' is a remake of a classic film.","A, C"
"Which of the following statements are true regarding the movie 'Ajnabee' released in 2001?
Options:
A. Kareena Kapoor made her debut in 'Ajnabee'
B. The movie features multiple actors
C. Kareena Kapoor is an actor
D. The film is a romantic comedy","Kareena Kapoor made her debut in 'Ajnabee', Kareena Kapoor is an actor"
"Which of the following statements are true regarding the movie 'Ajnabee' released in 2001?
Options:
A. A. Bipasha Basu made her acting debut in 'Ajnabee'.
B. B. 'Ajnabee' is a romantic comedy.
C. C. Bipasha Basu is featured in 'Ajnabee' as one of the main actors.
D. D. 'Ajnabee' was released in 2001.","A, C, D"
"Which of the following statements are true regarding the movie 'Ajnabee' released in 2001?
Options:
A. Johnny Lever plays a supporting role
B. The movie features a main character named Johnny
C. Ajnabee was released in 2001
D. Johnny Lever is known for his comedic roles","Johnny Lever plays a supporting role, Ajnabee was released in 2001, Johnny Lever is known for his comedic roles"
"In the movie 'Ajnabee' (2001), which of the following statements about Dalip Tahil's role are correct?
Options:
A. Dalip Tahil plays a supporting role.
B. Dalip Tahil is the main antagonist.
C. Dalip Tahil's character is crucial to the plot.
D. Dalip Tahil has a cameo appearance.","Dalip Tahil plays a supporting role., Dalip Tahil's character is crucial to the plot."
"Which of the following statements are true regarding the movie 'Ajnabee' released in 2001?
Options:
A. Narendra Bedi plays a supporting role in the movie.
B. Ajnabee was released in 2000.
C. The movie features a significant plot twist.
D. Ajnabee is a Bollywood film.","Narendra Bedi plays a supporting role in the movie., Ajnabee is a Bollywood film."
"In the movie 'Ajnabee' (2001), which of the following statements about Sharat Saxena's role are true?
Options:
A. Sharat Saxena plays a leading role.
B. Sharat Saxena is featured in a supporting role.
C. Sharat Saxena's character is pivotal to the plot.
D. Sharat Saxena has a cameo appearance.","Sharat Saxena is featured in a supporting role., Sharat Saxena's character is pivotal to the plot."
