node_1,node_2,node_3,edge_1,edge_2
elijah wood,frodo baggins,the ring,Elijah Wood portrays Frodo Baggins in the film series.,"Frodo Baggins, a young hobbit, continues his quest to destroy the Ring, which continues to weaken and tempt him."
viggo mortensen,aragorn,dúnedain ranger,Viggo Mortensen portrays Aragorn in the film series.,Aragorn is a Dúnedain ranger.
andy serkis,sméagol,gollum,Andy Serkis portrays Sméagol in the film series and also voices Gollum.,Sméagol is a wretched and treacherous creature who was once one of the river-folk (an extinct race of hobbits) and now guides Frodo and Sam into Mordor while seeking the Ring. The first scenes in the film portray him in his former life as Sméagol as well as his deterioration into Gollum.
billy boyd,peregrin took,pippin,Billy Boyd portrays Peregrin Took in the film series and also portrays Pippin.,"Peregrin Took, better known as Pippin, is a cousin of Frodo's who becomes an esquire of Gondor."
dominic monaghan,meriadoc brandybuck,merry,Dominic Monaghan portrays Meriadoc Brandybuck in the film series and also portrays Merry.,"Meriadoc Brandybuck, better known as Merry, is a cousin of Frodo's who becomes an esquire of Rohan."
john rhys-davies,gimli,dwarf warrior,John Rhys-Davies portrays Gimli in the film series and also voices Treebeard.,Gimli is a dwarf warrior and companion to Aragorn along with Legolas.
john rhys-davies,gimli,dwarf warrior,"Actor John Rhys-Davies portrays the character of Gimli, a dwarf warrior and companion to Aragorn in 'The Lord of the Rings' trilogy.",Gimli is a dwarf warrior and companion to Aragorn along with Legolas.
john rhys-davies,treebeard,ent leader,"Apart from playing Gimli, John Rhys-Davies also gave voice to Treebeard, the ent leader in 'The Lord of the Rings'.","Rhys-Davies also voices Treebeard, the ent leader."
orlando bloom,legolas,brad dourif,"Actor Orlando Bloom essayed the role of Legolas, an elven prince of Mirkwood and skilled archer in 'The Lord of the Rings'.","After stabbing Saruman, Brad Dourif's character Gríma Wormtongue was shot by Legolas in the movie."
miranda otto,aragorn,dúnedain ranger,"In 'The Lord of the Rings: The Return of the King', Miranda Otto's character Éowyn falls in love with Aragorn, but he does not reciprocate her feelings.",Aragorn is a Dúnedain ranger.
brad dourif,gríma wormtongue,saruman's,"As per the Extended Edition of the movie, Brad Dourif plays the character of Gríma Wormtongue.","In the movie, Gríma Wormtongue is Saruman's sycophantic and treacherous servant."
gríma wormtongue,saruman's,sycophantic servant,"In the movie, Gríma Wormtongue is Saruman's sycophantic and treacherous servant.",Gríma Wormtongue was Saruman's sycophantic servant as depicted in the movie.
brad dourif,gríma wormtongue,saruman's,Brad Dourif portrayed the character Gríma Wormtongue in the film.,"In the movie, Gríma Wormtongue is Saruman's sycophantic and treacherous servant."
legolas,brad dourif,gríma wormtongue,"After stabbing Saruman, Brad Dourif's character Gríma Wormtongue was shot by Legolas in the movie.","As per the Extended Edition of the movie, Brad Dourif plays the character of Gríma Wormtongue."
legolas,brad dourif,gríma wormtongue,"After stabbing Saruman, Brad Dourif's character Gríma Wormtongue was shot by Legolas in the movie.",Brad Dourif portrayed the character Gríma Wormtongue in the film.
