Question,Answer
"Is Sidharth Malhotra not a character in the movie ""A Gentleman"" released in 2017?",NO
"Does Sidharth Malhotra play the character Gaurav Kapoor/Rishi Purohit in the movie ""A Gentleman"" released in 2017?",YES
"In the movie ""A Gentleman"" released in 2017, does Jacqueline Fernandez play the character Kavya Chetwani? ",NO
"In the movie ""A Gentleman"" released in 2017, does Jacqueline Fernandez portray a character? ",YES
"In the movie ""A Gentleman"" released in 2017, does Suniel Shetty play a character named Colonel Vijay Saxena?",NO
"Is Colonel Vijay Saxena a character portrayed by Suniel Shetty in the movie ""A Gentleman"" from 2017?",YES
"In the movie ""A Gentleman"" released in 2017, does Darshan Kumaar play a character that is not named Yakub?",NO
"In the movie ""A Gentleman"" released in 2017, does Darshan Kumaar play the character named Yakub?",YES
"Is Hussain Dalal the main character in the movie ""A Gentleman"" released in 2017?",NO
"Does Hussain Dalal play the character named Samarth Dixit in the movie ""A Gentleman"" released in 2017?",YES
"Is Rajit Kapur the main character in the movie ""A Gentleman"" released in 2017?",NO
"Does Rajit Kapur play the character named Sameer Chetwani in the movie ""A Gentleman"" released in 2017?",YES
"Is Supriya Pilgaonkar not the mother of Kavya in the movie ""A Gentleman"" released in 2017?",NO
"Does Supriya Pilgaonkar play the character Ramika Chetwani in the movie ""A Gentleman"" released in 2017?",YES
"In the movie ""A Gentleman"" released in 2017, does Amit Mistry play the character named Jignesh Patel?",NO
"In the movie ""A Gentleman"" released in 2017, is Jignesh Patel a character played by Amit Mistry?",YES
"Does Sijoy Varghese play the character Ramachandra Rao in the movie ""A Gentleman"" released in 2017?",NO
"Is Ramachandra Rao a character played by Sijoy Varghese in the movie ""A Gentleman"" released in 2017?",YES
"In the movie ""A Gentleman"" released in 2017, does Shaheed Woods not play the character named Koko?",NO
"In the movie ""A Gentleman"" released in 2017, does Shaheed Woods play the character named Koko?",YES
"Did Kushal Punjabi play a character named Willy in the movie ""A Gentleman"" released in 2017?",NO
"Is Willy a character in the movie ""A Gentleman"" released in 2017 played by Kushal Punjabi?",YES
"Does Zachary Coffin play a different character in the movie ""A Gentleman"" released in 2017?",NO
"Is CEO Jim a character played by Zachary Coffin in the movie ""A Gentleman"" released in 2017?",YES
"In the movie ""A Gentleman"" released in 2017, does Hemant Koumar play the character named Robbie?",NO
"Is Robbie a character played by Hemant Koumar in the movie ""A Gentleman"" from 2017?",YES
"In the movie ""A Gentleman"" released in 2017, does Nikita Sachdev play a character that is not named Nikki?",NO
"In the movie ""A Gentleman"" released in 2017, does Nikita Sachdev play the character named Nikki?",YES
