node_1,node_2,edge,chunk_id,count
dark phoenix,x-men film series,"Dark Phoenix is a 2019 American superhero film based on the Marvel Comics X-Men characters, which is part of the X-Men film series.",dde5b168676543f2a1c417beea7fe929,4
simon kinberg,director,"Simon Kinberg (producer, writer, and director) led the production, writing, and direction of Dark Phoenix.",dde5b168676543f2a1c417beea7fe929,4
james mcavoy,ensemble cast,Dark Phoenix features an ensemble cast that includes James McAvoy.,dde5b168676543f2a1c417beea7fe929,4
michael fassbender,ensemble cast,Dark Phoenix also stars Michael Fassbender as part of its ensemble cast.,dde5b168676543f2a1c417beea7fe929,4
jennifer lawrence,ensemble cast,The film's ensemble cast also includes Jennifer Lawrence.,dde5b168676543f2a1c417beea7fe929,4
nicholas hoult,ensemble cast,"Dark Phoenix features an ensemble cast, which also consists of Nicholas Hoult.",dde5b168676543f2a1c417beea7fe929,4
sophie turner,jean grey,The story in Dark Phoenix revolves around Sophie Turner's character Jean Grey.,dde5b168676543f2a1c417beea7fe929,4
tye sheridan,ensemble cast,Dark Phoenix's ensemble cast also includes Tye Sheridan.,dde5b168676543f2a1c417beea7fe929,4
alexandra shipp,ensemble cast,The film's ensemble cast is completed by Alexandra Shipp.,dde5b168676543f2a1c417beea7fe929,4
jessica chastain,opponents seeking to control or kill jean grey,Dark Phoenix portrays Jessica Chastain as one of the opponents trying to control or eliminate Jean Grey.,dde5b168676543f2a1c417beea7fe929,4
jean grey,phoenix,Dark Phoenix chronicles the origin story of how Jean Grey becomes the Phoenix.,dde5b168676543f2a1c417beea7fe929,4
x-men: apocalypse,predecessor film to dark phoenix,"Dark Phoenix serves as the sequel to X-Men: Apocalypse, which was released in 2016.",dde5b168676543f2a1c417beea7fe929,4
hugh jackman,wolverine (apart from deadpool films),"Dark Phoenix, being the final installment of the prequel films, does not feature Hugh Jackman's character Wolverine (except in Deadpool movies).",dde5b168676543f2a1c417beea7fe929,4
bad hat harry productions,producer,"Though Bad Hat Harry Productions was involved in producing the X-Men films, they were uncredited due to sexual assault allegations made against Bryan Singer in 2019.",dde5b168676543f2a1c417beea7fe929,4
jean grey,charles xavier,"In 1975, Jean Grey, an eight-year-old with telekinetic powers, is orphaned in a car crash and brought to Charles Xavier's School for Gifted Youngsters where he promises to teach her to control her mutant abilities.",54d8c06aca1c456b966468c06370785e,4
jean grey,dark phoenix,"In Dark Phoenix, Jean Grey reawakens the Dark Phoenix entity within herself after being exposed to a powerful cosmic force, causing her powers to spiral out of control.",54d8c06aca1c456b966468c06370785e,4
dark phoenix,x-men,Dark Phoenix poses a severe threat to the X-Men as she seeks to claim her rightful place as the most powerful mutant in existence.,54d8c06aca1c456b966468c06370785e,4
space shuttle endeavour's damage,solar flare-like energy,"In 1992, during the Space Shuttle Endeavour’s first mission, the shuttle was damaged by solar flare-like energy.",c093ee7f6574462c90ac9e6dd7b920f0,4
president's call,x-men,The president called upon the X-Men to save the astronauts.,c093ee7f6574462c90ac9e6dd7b920f0,4
jean's psychic powers,amplified,Jean's psychic powers became amplified.,c093ee7f6574462c90ac9e6dd7b920f0,4
emotional state,deteriorates,The emotional state of Jean deteriorated.,c093ee7f6574462c90ac9e6dd7b920f0,4
xavier's suppression,jean's memory,Xavier revealed to the other X-Men that he suppressed Jean's memory of causing the car crash as a child to keep the psychological trauma from making her unstable.,c093ee7f6574462c90ac9e6dd7b920f0,4
mental blocks,destroying,Jean's enhanced power is destroying the mental blocks and she is now experiencing PTSD symptoms.,c093ee7f6574462c90ac9e6dd7b920f0,4
visions,jean,Jean saw visions of her father and found him alive.,c093ee7f6574462c90ac9e6dd7b920f0,4
jean's memory,recovers,Jean recovered her memory.,c093ee7f6574462c90ac9e6dd7b920f0,4
jean's powers,uncontrollable,"At the time, Jean's powers were uncontrollable.",c093ee7f6574462c90ac9e6dd7b920f0,4
car crash,caused,"The X-Men arrived, and after a skirmish in which Peter Maximoff was injured, it was discovered that Jean's uncontrollable powers caused the car crash.",c093ee7f6574462c90ac9e6dd7b920f0,4
jean's mother,killed,"The X-Men arrived, and after a skirmish in which Peter Maximoff was injured, it was discovered that Jean's uncontrollable powers killed her mother during the car crash.",c093ee7f6574462c90ac9e6dd7b920f0,4
raven darkhölme,frozen,Xavier mentally froze everyone to allow Raven Darkhölme to persuade Jean to come home.,c093ee7f6574462c90ac9e6dd7b920f0,4
jean,erik lehnsherr,"Fleeing to the island of Genosha, Jean asks Erik for help controlling her rage. Military helicopters arrive demanding Jean's surrender and she attacks them causing Erik to angrily banish her.",809611dc3b164ae6ab7dbbbc93ca8c1b,4
jean,vuk,"Found by Vuk, leader of the shape-shifting alien race known as the D'Bari, who explains that the cosmic force Jean absorbed had wiped out the D'Bari planet, consuming everything in its path until it was drawn to Jean.",809611dc3b164ae6ab7dbbbc93ca8c1b,4
erik lehnsherr,jean,Erik confronts Jean and Vuk but is defeated by Jean's amplified powers in the battle between their factions.,809611dc3b164ae6ab7dbbbc93ca8c1b,4
xavier,jean,"Learning of Erik's plan, Kurt Wagner teleports the X-Men to New York to save Jean and Xavier convinces Jean to read his memories, helping her former personality resurface.",809611dc3b164ae6ab7dbbbc93ca8c1b,4
hank,xavier,"Blaming Xavier for Raven's death, Hank leaves the school and allies with Erik and his faction of mutants in a plan to kill Jean.",809611dc3b164ae6ab7dbbbc93ca8c1b,4
government troops,mutant factions,Both mutant factions are subdued by government troops while Vuk escapes during the battle between them.,809611dc3b164ae6ab7dbbbc93ca8c1b,4
scott summers,jean,"When Vuk reveals the D'Bari's intent to use the Phoenix Force to conquer Earth, Scott stops Jean when she attempts to let Vuk take the force from her.",809611dc3b164ae6ab7dbbbc93ca8c1b,4
jean grey,vuk,"Vuk attempts to drain the force from Jean twice, and Jean saves the mutants from the ensuing train wreck and disintegrates the remaining D'Bari by transforming into a phoenix-shaped being of energy. The two have opposing goals: Vuk wants to extract Jean's powers for herself, while Jean uses her powers to stop Vuk.",7240bf0927d44a85a694f2864ccf3487,4
charles xavier,jean grey,"Charles confers with Jean within his mind and convinces her allies to save her. They also unite against the D'Bari attackers. Jean forgives Charles for hiding her powers, saving the mutants from a train wreck.",7240bf0927d44a85a694f2864ccf3487,4
charles xavier,hank mccoy,"Charles convinces Hank to join them in stopping Vuk and freeing the mutants. They also unite against the D'Bari attackers, and Hank takes Charles' place as dean of Xavier's school.",7240bf0927d44a85a694f2864ccf3487,4
scott shepherd,jean grey,"Scott is John Grey, Jean's father. Their relationship is not directly related to stopping Vuk, but it adds context about Jean.",7240bf0927d44a85a694f2864ccf3487,4
erik lehnsherr,charles xavier,"Erik invites Charles to a game of chess in Paris. This may indicate that Erik is still plotting against Charles, or it could just be a chance encounter.",7240bf0927d44a85a694f2864ccf3487,4
jones,vuk,Jones is Vuk's second in command and helps her with the D'Bari attack. Their relationship adds to Vuk's power and influence.,7240bf0927d44a85a694f2864ccf3487,4
president of the united states,other cast members,"The President appears briefly as a background character, indicating that this is set in the same universe as the other X-Men movies.",7240bf0927d44a85a694f2864ccf3487,4
kota eberhardt,selene gallio,"In the context, Kota Eberhardt portrays Selene Gallio.",5cb5c100d6a64d87bbeaca13db025f2c,4
andrew stehlin,ariki,"Andrew Stehlin portrays Ariki, a mutant who can utilize his hair braids as a weapon in the context.",5cb5c100d6a64d87bbeaca13db025f2c,4
