Question,Answer
"Is the summary of the movie ""Kalank"" from the year 2019 irrelevant to its overall plot?",NO
"Does the movie ""Kalank"" released in 2019 have a summary that encapsulates its main themes and characters?",YES
"Is the movie ""Kalank"" released in 2019 set in a futuristic era?",NO
"Is ""Kalank"" a period romantic drama film set in the pre-independence British era released in 2019?",YES
"Was the movie ""Kalank"" released in 2019 produced by Karan Johar, Hiroo Yash Johar, and Apoorva Mehta under Dharma Productions?",NO
"Is ""Kalank"" a movie that was produced by Dharma Productions in 2019?",YES
"Was the movie ""Kalank"" released in 2019 produced by a different production company?",NO
"Is ""Kalank"" a film produced by Sajid Nadiadwala under Nadiadwala Grandson Entertainment in 2019?",YES
Is Fox Star Studios the original creator of Kalank released in 2019?,NO
Did Fox Star Studios present and distribute Kalank in 2019 after the acquisition of 21st Century Fox by Disney?,YES
"Did Varun Dhawan play a leading role in the movie ""Kalank"" released in 2019?",NO
"Is Varun Dhawan part of the ensemble cast in the movie ""Kalank"" released in 2019?",YES
Did Alia Bhatt star in the movie Kalank released in 2019?,NO
Is Kalank a movie that features Alia Bhatt in its ensemble cast released in 2019?,YES
Did Sanjay Dutt star in the movie Kalank released in 2019?,NO
Is Kalank a movie that features Sanjay Dutt in its ensemble cast released in 2019?,YES
"Did Sonakshi Sinha play the lead role in the movie ""Kalank"" released in 2019?",NO
"Is Sonakshi Sinha part of the ensemble cast in the movie ""Kalank"" released in 2019?",YES
"Is Aditya Roy Kapur the main lead in the movie ""Kalank"" released in 2019?",NO
"Does ""Kalank"" released in 2019 feature Aditya Roy Kapur in its ensemble cast?",YES
"Did the movie ""Kalank"" release on 18 April 2019?",NO
"Did the movie ""Kalank"" release on 17 April 2019?",YES
"Did the movie Kalank release on fewer than 5,300 screens worldwide in 2019?",NO
Was Kalank the widest Bollywood release of 2019?,YES
"Did the movie ""Kalank"" released in 2019 perform well at the box office?",NO
"Is it true that ""Kalank"" released in 2019 grossed around ₹146.31 crore?",YES
"Did the movie ""Kalank"" receive positive reviews upon its release in 2019?",NO
"Did the movie ""Kalank"" receive mixed reviews upon its release in 2019?",YES
"Was the production design of ""Kalank"" in 2019 criticized by audiences?",NO
"Did ""Kalank"" in 2019 receive praise for its production design?",YES
"Does the movie ""Kalank"" released in 2019 star a solo actor instead of an ensemble cast?",NO
"Is ""Kalank"" from 2019 known for featuring an ensemble cast?",YES
"In the movie ""Kalank"" released in 2019, does the male lead tell Satya Chaudhry that she has cancer and will die soon?",NO
"In the movie ""Kalank"" released in 2019, is Satya Chaudhry informed by her doctor that she has cancer and will die soon?",YES
Does Satya Chaudhry leave her native village in the movie Kalank released in 2019?,NO
Does Satya Chaudhry go back to her native village in the movie Kalank released in 2019?,YES
"In the movie ""Kalank"" released in 2019, does Roop have a romantic relationship with Dev Chaudhry?",NO
"In the movie ""Kalank"" released in 2019, is Roop married to Dev Chaudhry under a condition?",YES
"In the movie ""Kalank"" released in 2019, does dharampal request companionship for satya chaudhry for any other reason than for her husband?",NO
"In the movie ""Kalank"" released in 2019, does dharampal request companionship for satya chaudhry for her husband?",YES
Does the character Roop in the movie Kalank released in 2019 have no obligation to Dharampal due to a favor done by his father?,NO
Is there an obligation between Roop and Dharampal in the movie Kalank released in 2019 due to a favor done by Roop's father?,YES
"In the movie ""Kalank"" released in 2019, did Zafar have a genuine romantic interest in Roop?",NO
"In the movie ""Kalank"" released in 2019, was Zafar's seduction plan aimed at seeking revenge against Roop's parents?",YES
"Did Satya Chaudhry successfully request companionship from Dev Chaudhry in the movie ""Kalank"" released in 2019?",NO
"Is the relationship between Satya Chaudhry and Dev Chaudhry based on a request for companionship due to a cancer diagnosis in the movie ""Kalank"" released in 2019?",YES
"In the movie ""Kalank"" released in 2019, does Roop truly love Dev after marrying him?",NO
"In the movie ""Kalank"" released in 2019, does Roop develop a friendship with Dev after the death of Balraj?",YES
"In the movie ""Kalank"" released in 2019, does Roop end up loving Zafar after her marriage with Dev?",NO
"In the movie ""Kalank"" released in 2019, does Zafar confess his love to Roop despite his initial intentions?",YES
"In the movie ""Kalank"" released in 2019, does Bahaar agree with Zafar's approach towards Roop?",NO
"In the movie ""Kalank"" released in 2019, does Bahaar urge Dev to give Roop a chance?",YES
"In the movie ""Kalank"" released in 2019, does Satya survive after urging Dev to give Roop a chance?",NO
"In the movie ""Kalank"" released in 2019, does Satya develop a friendship with Dev?",YES
"In the movie Kalank released in 2019, did Saroj survive the brutal stabbing by Abdul Khan during the riots?",NO
