Question,Answer
"Did Darsheel Safary play a different character in the movie ""Taare Zameen Par"" released in 2006?",NO
"Did Darsheel Safary portray Ishaan Nandkishore Awasthi in the movie ""Taare Zameen Par"" released in 2006?",YES
"Did Veer Mohan portray the character of Young Ishaan in the movie ""Taare Zameen Par"" released in 2006?",NO
"Is it true that Veer Mohan portrayed the character of Young Ishaan in the movie ""Taare Zameen Par"" released in 2006?",YES
"Did Aamir Khan play a different character in the movie ""Taare Zameen Par"" released in 2006?",NO
"Did Aamir Khan act as Ram Shankar Nikumbh in the movie ""Taare Zameen Par"" released in 2006?",YES
"Did Tisca Chopra play a character other than Maya Nandkishore Awasthi in the movie ""Taare Zameen Par"" released in 2006?",NO
"Is Maya Nandkishore Awasthi portrayed by Tisca Chopra in the movie ""Taare Zameen Par"" released in 2006?",YES
Did Vipin Sharma play the role of Nandkishore Awasthi in the movie Taare Zameen Par released in 2006?,NO
Is it true that Vipin Sharma portrayed Nandkishore Awasthi in the movie Taare Zameen Par released in 2006?,YES
"Did Sachet Engineer play a different character than Yohaan Nandkishore Awasthi in the movie ""Taare Zameen Par"" released in 2006?",NO
"Did Sachet Engineer act as Yohaan Nandkishore Awasthi in the movie ""Taare Zameen Par"" released in 2006?",YES
"Did Aniket Engineer portray the character of Young Yohaan in the movie ""Taare Zameen Par"" released in 2006?",NO
"Is it true that Aniket Engineer played the role of Young Yohaan in the movie ""Taare Zameen Par"" released in 2006?",YES
Did Tanay Chheda play the role of Rajan Damodran in the movie Taare Zameen Par released in 2006?,NO
Is it true that Tanay Chheda played the role of Rajan Damodran in the movie Taare Zameen Par released in 2006?,YES
"Did Ramit Gupta play a different character other than Ranjeet in the movie ""Taare Zameen Par"" released in 2006?",NO
"Did Ramit Gupta act as Ranjeet in the movie ""Taare Zameen Par"" released in 2006?",YES
"Did Girija Oak portray the character of Jabeen Khan in the movie ""Taare Zameen Par"" released in 2006?",NO
"Is it true that Girija Oak played the role of Jabeen Khan in the movie ""Taare Zameen Par"" released in 2006?",YES
Did Bugs Bhargava play the role of Sen Sir in the movie Taare Zameen Par released in 2006?,NO
Is it true that Bugs Bhargava played the role of Sen Sir in the movie Taare Zameen Par released in 2006?,YES
"Did Shankar Sachdev play the role of Tiwari Sir in the movie ""Taare Zameen Par"" released in 2006?",NO
"Was Tiwari Sir a character portrayed by Shankar Sachdev in the movie ""Taare Zameen Par"" released in 2006?",YES
"Did M. K. Raina play a different character in the movie ""Taare Zameen Par"" released in 2006?",NO
"Did M. K. Raina portray the Principal of New Era High School in the movie ""Taare Zameen Par"" released in 2006?",YES
"Did Pratima Kulkarni play a different role in the movie ""Taare Zameen Par"" released in 2006?",NO
"Did Pratima Kulkarni act as the Principal of St. Anthony's School in the movie ""Taare Zameen Par"" released in 2006?",YES
"Did Meghna Malik play a character other than Victoria Teacher in the movie ""Taare Zameen Par"" released in 2006?",NO
"Is Victoria Teacher a character in the movie ""Taare Zameen Par"" released in 2006?",YES
Did Meghna Malik play a student in the movie Taare Zameen Par released in 2006?,NO
"Did Meghna Malik work as a teacher at Ishaan's former school, St. Anthony's School, in the movie Taare Zameen Par released in 2006?",YES
"Did Meghna Malik play the character of Victoria Teacher in the movie ""Taare Zameen Par"" released in 2006?",NO
"Is Meghna Malik associated with the character Victoria Teacher in the movie ""Taare Zameen Par"" released in 2006?",YES
"Did Meghna Malik play the role of a class teacher in the movie ""Taare Zameen Par"" released in 2006?",NO
"Is Meghna Malik a character in the movie ""Taare Zameen Par"" released in 2006?",YES
"Was Sonali Sachdev a student at St. Anthony's School in the movie ""Taare Zameen Par"" released in 2006?",NO
"Did Sonali Sachdev work as an English teacher at St. Anthony's School in the movie ""Taare Zameen Par"" released in 2006?",YES
"Did Sonali Sachdev play the role of Irene Teacher in the movie ""Taare Zameen Par"" released in 2006?",NO
"Is it true that Sonali Sachdev acted as Irene Teacher in the movie ""Taare Zameen Par"" released in 2006?",YES
"Did Lalita Lajmi appear as herself in the movie ""Taare Zameen Par"" released in 2006?",NO
"Is Lalita Lajmi a part of the cast in the movie ""Taare Zameen Par"" released in 2006?",YES
"Was Abhishek Bachchan not present as himself in a cameo appearance in the movie ""Taare Zameen Par"" released in 2006?",NO
"Did Abhishek Bachchan appear as himself in a cameo in the movie ""Taare Zameen Par"" released in 2006?",YES
