node_1,node_2,edge,chunk_id,count
devdas mukherjee,parvati 'paro' ,"Devdas returns from London to marry his childhood friend Paro, but their marriage is rejected by his family which leads to Devdas' descent into alcoholism and emotional deterioration.",25373c24758d4c3197b8f7638aaf75b5,4
devdas mukherjee,alcoholism,Devdas' descent into alcoholism is a result of his family rejecting his marriage with Paro.,25373c24758d4c3197b8f7638aaf75b5,4
parvati 'paro',devdas mukherjee,"Devdas and Paro were childhood friends who were to be married, but their marriage was rejected by Devdas' family.",25373c24758d4c3197b8f7638aaf75b5,4
parvati 'paro',emotional deterioration,Devdas' emotional deterioration is a result of his rejection and Paro moving on with her life.,25373c24758d4c3197b8f7638aaf75b5,4
chandramukhi,devdas mukherjee,Devdas seeks refuge with the courtesan Chandramukhi after his emotional deterioration.,25373c24758d4c3197b8f7638aaf75b5,4
chandramukhi,golden-hearted,Chandramukhi is described as a golden-hearted courtesan in the film.,25373c24758d4c3197b8f7638aaf75b5,4
devdas mukherjee,law graduate,Devdas is introduced as a wealthy law graduate in the film.,25373c24758d4c3197b8f7638aaf75b5,4
parvati 'paro',childhood friend,"Paro and Devdas were childhood friends who were to be married, but their marriage was rejected by Devdas' family.",25373c24758d4c3197b8f7638aaf75b5,4
devdas mukherjee,alcoholic state,"In his alcoholic state, Devdas becomes a burden to Chandramukhi and her house.",25373c24758d4c3197b8f7638aaf75b5,4
bharat shah,mega bollywood,"Devdas is produced by Bharat Shah under his banner, Mega Bollywood.",25373c24758d4c3197b8f7638aaf75b5,4
devdas,most expensive indian film ever made,"In 2002, Devdas was the most expensive Indian film ever made with a budget of ₹500 million (US$10.29 million).",8d0e3df1601348d19d9ae4d230eefe22,4
devdas,out of competition section at the 2002 cannes film festival,"Devdas premiered in the Out of Competition section at the 2002 Cannes Film Festival on May 23, 2002.",8d0e3df1601348d19d9ae4d230eefe22,4
devdas,mixed reviews when it premiered at cannes,"When it premiered at the Cannes Film Festival in 2002, Devdas received mixed reviews.",8d0e3df1601348d19d9ae4d230eefe22,4
devdas,better received when theatrically released,"However, when it was theatrically released later that year, Devdas received better reception.",8d0e3df1601348d19d9ae4d230eefe22,4
devdas,highest-grossing indian film of the year,"In 2002, Devdas emerged as the highest-grossing Indian film of the year, earning approximately ₹1.68 billion ($35 million) worldwide.",8d0e3df1601348d19d9ae4d230eefe22,4
devdas,won several accolades,"The film won several accolades, including 5 awards at the 50th National Film Awards and Best Popular Film Providing Wholesome Entertainment.",8d0e3df1601348d19d9ae4d230eefe22,4
devdas,bafta award for best film not in the english language,It was also nominated for the BAFTA Award for Best Film Not in the English Language.,8d0e3df1601348d19d9ae4d230eefe22,4
