Question,Answer
"Is Lucky Negi the son of Mr. Sekhri in the movie ""Lucky: No Time for Love"" released in 2005?",NO
"Is Lucky Negi the daughter of Mr. Sekhri in the movie ""Lucky: No Time for Love"" released in 2005?",YES
"Is Aditya the father of Mr. Sekhri in the movie ""Lucky: No Time for Love"" released in 2005?",NO
"Is Mr. Sekhri the Indian Ambassador to Russia in the movie ""Lucky: No Time for Love"" released in 2005?",YES
"Is Lucky Negi's father someone other than Mr. Negi in the movie ""Lucky: No Time for Love"" released in 2005?",NO
"Is Mr. Negi the father of Lucky Negi in the movie ""Lucky: No Time for Love"" released in 2005?",YES
Did Lucky: No Time for Love release in 2005 depict Aditya and Lucky Negi as perpetrators of a crime?,NO
"In Lucky: No Time for Love, did Aditya and Lucky Negi experience an attempted crime in 2005?",YES
Is Lucky: No Time for Love a romantic comedy that does not involve any serious themes in its plot from 2005?,NO
Does Lucky: No Time for Love from 2005 include a storyline where Lucky Negi is a victim of an attempted rape by a young Russian?,YES
Did Aditya abandon Lucky Negi in the movie Lucky: No Time for Love released in 2005?,NO
Did Aditya rescue Lucky Negi from the young Russian in the movie Lucky: No Time for Love released in 2005?,YES
"In the movie ""Lucky: No Time for Love"" released in 2005, did the car owner find Lucky Negi hiding in the parked car while driving his car to meet Aditya's father?",NO
"In the movie ""Lucky: No Time for Love"" released in 2005, did the car owner discover Lucky Negi hiding in the parked car during his drive?",YES
Did Aditya willingly consume the poisoned water in the movie Lucky: No Time for Love released in 2005?,NO
Did the terrorists play a role in Aditya and Lucky's escape in Lucky: No Time for Love released in 2005?,YES
"Did Aditya and Lucky Negi find refuge in a local doctor's clinic in the movie ""Lucky: No Time for Love"" released in 2005?",NO
"Is it true that Aditya and Lucky Negi took refuge in a local doctor's clinic after leaving the car in the movie ""Lucky: No Time for Love"" released in 2005?",YES
"In the movie Lucky: No Time for Love released in 2005, did Mr. Sekhri recruit retired Colonel Pindi Das Kapoor for a different purpose than locating their children?",NO
"In the movie Lucky: No Time for Love released in 2005, did Mr. Sekhri recruit retired Colonel Pindi Das Kapoor to locate their children?",YES
"Did Colonel Pindi Das Kapoor find Aditya and Lucky Negi in a park in the movie ""Lucky: No Time for Love"" released in 2005?",NO
"Did Colonel Pindi Das Kapoor find Aditya and Lucky Negi hiding in an isolated graveyard in the movie ""Lucky: No Time for Love"" released in 2005?",YES
"Did Aditya and Lucky Negi remain apart throughout the movie ""Lucky: No Time for Love"" released in 2005?",NO
"Did Aditya and Lucky Negi fall in love while struggling to return to their families in the movie ""Lucky: No Time for Love"" released in 2005?",YES
"Did Aditya fall in love with Lucky in Russia in the movie ""Lucky: No Time for Love"" released in 2005?",NO
"Is it true that Aditya spent some time in Russia before falling in love with Lucky in the movie ""Lucky: No Time for Love"" released in 2005?",YES
"Is Russia mentioned in the movie ""Lucky: No Time for Love"" released in 2005 as a place where Lucky does not fall in love with Aditya?",NO
"Does the movie ""Lucky: No Time for Love"" released in 2005 include a storyline where Lucky falls in love with Aditya while staying in Russia?",YES
"Did Aditya and Lucky fall in love while they were both in Russia in the movie ""Lucky: No Time for Love"" released in 2005?",NO
"Are Aditya and Lucky both considered as characters in the movie ""Lucky: No Time for Love"" released in 2005?",YES
"Is the Colonel a villain in the movie ""Lucky: No Time for Love"" released in 2005?",NO
"Does the Colonel assist Aditya in the movie ""Lucky: No Time for Love"" released in 2005?",YES
"Is the Colonel in ""Lucky: No Time for Love"" from a country other than India in the year 2005?",NO
"Does the Colonel in ""Lucky: No Time for Love"" have a connection to India in the year 2005?",YES
