Question,Answer,generated_answer
"[""Is 'Hubie Halloween 2020' a movie that is not part of Adam Sandler's Netflix deal?""]",no,yes
"[""Is 'Hubie Halloween 2020' a film that is part of Adam Sandler's Netflix deal?""]",yes,yes
"[""Was Kevin James excluded from the cast of Hubie Halloween 2020?""]",no,yes
"[""Is Kevin James a part of the cast for Hubie Halloween 2020?""]",yes,yes
"[""Is Julie Bowen not involved in the production of the movie 'Hubie Halloween 2020'?""]",no,yes
"[""Is Julie Bowen part of the cast for the movie 'Hubie Halloween 2020'?""]",yes,yes
"[""Is Maya Rudolph not included in the cast for the movie 'Hubie Halloween 2020'?""]",no,yes
"[""Is Maya Rudolph a part of the cast for the movie 'Hubie Halloween 2020'?""]",yes,yes
"[""Is Steve Buscemi not involved in the production of the movie 'Hubie Halloween 2020'?""]",no,yes
"[""Is Steve Buscemi a part of the cast for the movie 'Hubie Halloween 2020'?""]",yes,yes
"[""Was Rob Schneider excluded from the cast of the movie 'Hubie Halloween 2020'?""]",no,yes
"[""Is Rob Schneider a part of the cast for the movie 'Hubie Halloween 2020'?""]",yes,yes
"[""Was Tim Meadows excluded from the cast of Hubie Halloween 2020?""]",no,yes
"[""Is Tim Meadows a part of the cast for Hubie Halloween 2020?""]",yes,yes
"""Is Colin Quinn not involved in the movie 'Hubie Halloween 2020' at all?""",no,yes
"""Is Colin Quinn a part of the cast for the movie 'Hubie Halloween 2020'?""",yes,yes
"[""Is Blake Clark not involved in the cast of the movie 'Hubie Halloween 2020'?""]",no,yes
"[""Did Blake Clark participate in the production of the movie 'Hubie Halloween 2020' as part of the cast?""]",yes,yes
"[""Is Shaquille O'Neal not involved in the cast of the movie 'Hubie Halloween 2020'?""]",no,yes
"[""Is Shaquille O'Neal a part of the cast for the movie 'Hubie Halloween 2020'?""]",yes,yes
"""Did Ray Liotta have no involvement in the production of the movie 'Hubie Halloween 2020'?""",no,yes
"""Is Ray Liotta attached to the production of the movie 'Hubie Halloween 2020'?""",yes,yes
"[""Was Michael Chiklis not involved in the production of Hubie Halloween 2020?""]",no,yes
"[""Is Michael Chiklis associated with the production of the movie Hubie Halloween 2020?""]",yes,yes
"""Is Kenan Thompson not involved in the production of the movie 'Hubie Halloween 2020'?""",no,yes
"""Is Kenan Thompson attached to the production of the movie 'Hubie Halloween 2020'?""",yes,yes
"[""Did Peyton List have no involvement in the production of the movie 'Hubie Halloween 2020'?""]",no,yes
"[""Is Peyton List attached to the production of 'Hubie Halloween 2020'?""]",yes,yes
"[""Was China Anne McClain not involved in the production of Hubie Halloween 2020?""]",no,yes
"[""Is China Anne McClain associated with the production of the movie Hubie Halloween 2020?""]",yes,yes
"[""Was Paris Berelc not involved in the production of the movie 'Hubie Halloween 2020'?""]",no,yes
"[""Is Paris Berelc associated with the movie 'Hubie Halloween 2020' in terms of production?""]",yes,yes
"[""Is June Squibb not involved in the production of Hubie Halloween 2020?""]",no,yes
"[""Is June Squibb attached to the production of the movie Hubie Halloween 2020?""]",yes,yes
"[""Did Noah Schnapp have no involvement in the production of the movie 'Hubie Halloween 2020'?""]",no,yes
"[""Is Noah Schnapp attached to the production of 'Hubie Halloween 2020'?""]",yes,yes
"[""Is Mikey Day not involved in the production of the movie 'Hubie Halloween 2020'?""]",no,yes
"[""Is Mikey Day attached to the production of the movie 'Hubie Halloween 2020'?""]",yes,yes
"[""Is Melissa Villaseñor not involved in the production of the movie 'Hubie Halloween 2020'?""]",no,yes
"[""Is Melissa Villaseñor part of the production team for the movie 'Hubie Halloween 2020'?""]",yes,yes
"[""Is Kym Whitley not associated with the movie 'Hubie Halloween 2020'?""]",no,yes
"[""Did Kym Whitley participate in the production of 'Hubie Halloween 2020'?""]",yes,yes
"[""Is Lavell Crawford not involved in the production of the movie 'Hubie Halloween 2020'?""]",no,yes
"[""Is Lavell Crawford attached to the production of the movie 'Hubie Halloween 2020'?""]",yes,yes
"[""Was Betsy Sodaro not involved in the production of the movie 'Hubie Halloween 2020'?""]",no,yes
"[""Is Betsy Sodaro associated with the production of 'Hubie Halloween 2020'?""]",yes,yes
"""Did George Wallace have no involvement in the production of the movie 'Hubie Halloween 2020'?""",no,yes
"""Is George Wallace associated with the production of the movie 'Hubie Halloween 2020'?""",yes,yes
