Question,Answer
"Is the song ""O Jaana"" not part of the soundtrack for the movie ""Tere Naam"" released in 2003?",NO
"Are both songs from the soundtrack of the movie ""Tere Naam"" released in 2003 composed by Himesh Reshammiya?",YES
"Is the song ""Odhni"" not part of the soundtrack for the movie ""Tere Naam"" released in 2003?",NO
"Is ""Odhni"" a song from the soundtrack of the movie ""Tere Naam"" released in 2003?",YES
"Is it true that all three songs from the soundtrack of ""Tere Naam"" released in 2003 are composed by the same artist?",NO
"Do the songs from the ""Tere Naam"" soundtrack released in 2003 feature different composers such as Himesh Reshammiya and Sajid-Wajid?",YES
"Is the song ""Chand"" not part of the soundtrack for the movie ""Tere Naam"" released in 2003?",NO
"Are both ""Chand"" and other songs from the soundtrack of ""Tere Naam"" released in 2003 composed by Himesh Reshammiya?",YES
"Is ""man basia o kanha"" a song from a different movie than ""Tere Naam"" released in 2003?",NO
"Are both ""tere naam"" and ""man basia o kanha"" songs from the soundtrack of the movie ""Tere Naam"" released in 2003?",YES
"Is the song ""kyun kisi ko"" from the Tere Naam soundtrack composed by someone other than Himesh Reshammiya in the year 2003?",NO
"Are both ""kyun kisi ko"" and ""o jaana"" part of the Tere Naam soundtrack released in 2003?",YES
"Is the song ""kyun kisi ko"" from the movie ""Tere Naam"" released in 2003 not part of its soundtrack?",NO
"Is the song ""tere naam"" included in the soundtrack of the movie ""Tere Naam"" released in 2003?",YES
"Are both songs ""lagan lagi"" and ""kyun kisi ko"" from the Tere Naam soundtrack composed by the same artist in the movie Tere Naam released in 2003?",NO
"Do ""lagan lagi"" and ""kyun kisi ko"" both belong to the soundtrack of the movie Tere Naam released in 2003?",YES
"Is it true that both songs ""lagan lagi"" and ""odhni"" from the soundtrack of ""Tere Naam"" released in 2003 were composed by the same artist?",NO
"Do ""lagan lagi"" and ""odhni"" both belong to the soundtrack of ""Tere Naam"" released in 2003?",YES
"Are all the songs in the soundtrack of ""Tere Naam"" from the year 2003 composed by a single composer?",NO
"Is there a relation between the soundtrack artists of ""Tere Naam"" released in 2003?",YES
"Is ""man basia o kanha"" a song from the soundtrack of ""Tere Naam"" released in 2003?",NO
"Are both ""man basia o kanha"" and ""tere naam"" songs from the ""Tere Naam"" soundtrack released in 2003?",YES
"Is the song ""chand"" not part of the Tere Naam soundtrack released in 2003?",NO
"Are both ""chand"" and ""kyun kisi ko"" songs from the Tere Naam soundtrack released in 2003?",YES
"Is the song ""chand"" not part of the soundtrack for the movie ""Tere Naam"" released in 2003?",NO
"Is the song ""odhni"" a track from the soundtrack of ""Tere Naam"" released in 2003?",YES
Are all three songs from the Tere Naam soundtrack composed by the same composer in the year 2003?,NO
Do all three songs from the Tere Naam soundtrack feature different composers in the year 2003?,YES
