node_1,node_2,edge,chunk_id,edge_type,count
creature from the black lagoon,the shape of water,Inspiration for concept came from childhood memories of seeing Creature from the Black Lagoon and wanting to see the Gill-man and Kay Lawrence succeed in their romance.,bf5e5bf9a7cc464eadb5b92084beefb8,,4
guillermo del toro,universal (studio),"Tried pitching a version focused more on the creature's perspective for remake of Creature from the Black Lagoon, but studio executives rejected concept.",bf5e5bf9a7cc464eadb5b92084beefb8,,4
the space between us,the shape of water,Shows similarities.,bf5e5bf9a7cc464eadb5b92084beefb8,,4
silent comedians,sally hawkins,"In preparing for her role in the film, Sally Hawkins watched films featuring silent comedians such as Charlie Chaplin, Buster Keaton, Harold Lloyd, and Stan Laurel from Laurel and Hardy, which Del Toro suggested because he thought Laurel could 'do a state of grace without conveying it verbally'.",fc19b6f1ae554e56862638ba330d44de,,4
del toro,sally hawkins,Del Toro wrote the script with Sally Hawkins in mind for the female lead and pitched the idea to her while he was intoxicated at the 2014 Golden Globes.,fc19b6f1ae554e56862638ba330d44de,,4
the film,del toro,"Del Toro said 'the movie is a movie about our problems today and about demonizing the other and about fearing or hating the other, and how that is a much more destructive position than learning to love and understand [...] if I say once upon a time in 1962, it becomes a fairy tale for troubled times. People can lower their guard a little bit more and listen to the story and listen to the characters and talk about the issues, rather than the circumstances of the issues.'",fc19b6f1ae554e56862638ba330d44de,,4
doug jones,the shape of water,played the role of Amphibian Man in the movie,f0372bb45f80400caf96c6ab48a4c2e9,,4
doug jones,mimic,previously collaborated with del Toro on this movie,f0372bb45f80400caf96c6ab48a4c2e9,,4
doug jones,hellboy,previously collaborated with del Toro on this movie,f0372bb45f80400caf96c6ab48a4c2e9,,4
doug jones,pan's labyrinth,previously collaborated with del Toro on this movie,f0372bb45f80400caf96c6ab48a4c2e9,,4
doug jones,hellboy ii: the golden army,previously collaborated with del Toro on this movie,f0372bb45f80400caf96c6ab48a4c2e9,,4
doug jones,crimson peak,previously collaborated with del Toro on this movie,f0372bb45f80400caf96c6ab48a4c2e9,,4
the shape of water,amphibian man,the protagonist played by Doug Jones,f0372bb45f80400caf96c6ab48a4c2e9,,4
nathan robitaille,voice of the amphibian man,created by supervising sound editor Nathan Robitaille,f0372bb45f80400caf96c6ab48a4c2e9,,4
doug jones,matador,decided to also portray the character as a Matador,f0372bb45f80400caf96c6ab48a4c2e9,,4
guillermo del toro,doug jones,collaborated with Doug Jones on several movies,f0372bb45f80400caf96c6ab48a4c2e9,,4
ian mckellen,giles,originally written for Ian McKellen,f0372bb45f80400caf96c6ab48a4c2e9,,4
richard jenkins,giles,accepted the part after Guillermo del Toro contacted him,f0372bb45f80400caf96c6ab48a4c2e9,,4
michael shannon,richard strickland,"Shannon and del Toro had early conversations about the notion that Strickland would have been the hero of the film if it had been made in the 1950s, something that fascinated the actor.",efbd02d7d6ba4899b8abfea469c12cdc,,4
richard strickland,the people del toro used to speak for the mute main character,"The people del Toro used to speak for the mute main character were people who represent very disenfranchised groups, as found funny by Octavia Spencer, who played the role of Elisa's co-worker, friend, and interpreter Zelda.",efbd02d7d6ba4899b8abfea469c12cdc,,4
toronto,the orpheum cinema of the film,"Principal photography began on August 15, 2016, in Toronto and Hamilton, Ontario, and wrapped on November 6, 2016.",efbd02d7d6ba4899b8abfea469c12cdc,,4
"elgin theatre, toronto",the orpheum cinema of the film,The interior of the Orpheum (the movie theater seen in the film) is that of the Elgin and Winter Garden Theatres in Toronto.,efbd02d7d6ba4899b8abfea469c12cdc,,4
victorian massey hall,the exterior of the building,"The exterior of the building is the façade of the Victorian Massey Hall, a performing arts theatre not far from the other one.",efbd02d7d6ba4899b8abfea469c12cdc,,4
del toro,fox searchlight pictures,offered del Toro either a $20 million budget to make the film in color or a $17 million budget to shoot it in black and white.,bbf403e730df4d29b0dcce67402317eb,,4
del toro,color,Del Toro was torn between making the film in color or in black and white.,bbf403e730df4d29b0dcce67402317eb,,4
del toro,black and white,"Del Toro was torn between making the film in color or in black and white, and was at one point leaning toward the latter.",bbf403e730df4d29b0dcce67402317eb,,4
del toro,immersed,"I thought it would look postmodern, like I was being reflective rather than immersed.",bbf403e730df4d29b0dcce67402317eb,,4
del toro,trust,the project was a 'healing movie for me',bbf403e730df4d29b0dcce67402317eb,speaks about,4
del toro,otherness,the project was a 'healing movie for me',bbf403e730df4d29b0dcce67402317eb,speaks about,4
del toro,sex,the project was a 'healing movie for me',bbf403e730df4d29b0dcce67402317eb,speaks about,4
del toro,love,the project was a 'healing movie for me',bbf403e730df4d29b0dcce67402317eb,speaks about,4
elisa's theme,water elements,"The composer, Alexandre Desplat, tried to capture the sound of water extensively while composing 'Elisa's Theme'. The melody from the opening scene was 'actually made of waves', and this created a warm feeling that is also caused by love. The sounds of accompanying instruments like flutes, accordions, and whistles were blurred to emphasize the effect of immersion and final merger of the two melodies.",a472d0eaa1064ca09ef1db3b74873986,,4
elisa's theme,storyline,"The composer, Alexandre Desplat, said that composing the score was 'a matter of sculpting the music and making it take the shape of the storyline.'",a472d0eaa1064ca09ef1db3b74873986,,4
the shape of water,music,"At the 90th Academy Awards, it received the Academy Award for Best Original Score. The music for The Shape of Water was released on December 1, 2017, by Decca Records. Desplat noted that 'when the movie’s that beautiful—and I actually think this movie is a masterpiece—it makes your life much easier. You just have to put your hands on it and it takes you anywhere you want.'",63e2ffc506f84e94b27b2750d59c4890,,4
decca records,music,"The music for The Shape of Water was released on December 1, 2017, by Decca Records.",63e2ffc506f84e94b27b2750d59c4890,,4
