Question & Options,Correct Answer
"What relationships exist among Sarah Rozario, Jeffrey, Raju, and Kunwar Raj Pratap Singh in the context of *Coolie No. 1*?
Options:
A. A) Raju is mistaken for Jeffrey's son-in-law.
B. B) Kunwar Raj Pratap Singh is involved in the misunderstanding regarding Raju's identity.
C. C) Jeffrey insults Jai Kishen upon learning about their financial status.
D. D) Raju is trying to marry Sarah Rozario.","A) Raju is mistaken for Jeffrey's son-in-law., B) Kunwar Raj Pratap Singh is involved in the misunderstanding regarding Raju's identity."
"Which statements accurately describe the relationships among Sarah Rozario, Jeffrey, Raju, and the movie Coolie No. 1?
Options:
A. A) Jeffrey insults Jai Kishen upon learning his family isn't wealthy.
B. B) Raju is believed to be Jeffrey's son-in-law.
C. C) Raju is linked to the movie Coolie No. 1.
D. D) Sarah Rozario is the daughter of Jeffrey.","A) Jeffrey insults Jai Kishen upon learning his family isn't wealthy., B) Raju is believed to be Jeffrey's son-in-law., C) Raju is linked to the movie Coolie No. 1."
"What are the relationships among the characters in the context of 'Coolie No. 1'?
Options:
A. A) Sarah Rozario is the daughter of Jeffrey.
B. B) Raju is incorrectly identified as Jeffrey's son-in-law.
C. C) Deepak proposes a drastic solution regarding Raju.
D. D) Jeffrey is wealthy and the father of Sarah Rozario.","A) Sarah Rozario is the daughter of Jeffrey., B) Raju is incorrectly identified as Jeffrey's son-in-law., C) Deepak proposes a drastic solution regarding Raju."
"Which characters are involved in the relationships regarding Sarah Rozario and her family?
Options:
A. A) Jeffrey
B. B) Raju
C. C) Mahesh Anand
D. D) Jai Kishen","A) Jeffrey, B) Raju, D) Jai Kishen"
"Which characters are involved in misunderstandings about family relationships in *Coolie No. 1*?
Options:
A. A) Jai Kishen
B. B) Jeffrey
C. C) Raju
D. D) Kunwar Raj Pratap Singh","B) Jeffrey, C) Raju, D) Kunwar Raj Pratap Singh"
"Which statements accurately reflect the relationships among the characters in *Coolie No. 1*?
Options:
A. A) Jai Kishen believes love is more important than wealth in a marriage.
B. B) Raju claims he does not know Jeffrey despite being mistaken for his son-in-law.
C. C) Raju has a connection to the character Coolie No. 1.
D. D) Jeffrey is wealthy and seeks a marriage based on love.","A) Jai Kishen believes love is more important than wealth in a marriage., B) Raju claims he does not know Jeffrey despite being mistaken for his son-in-law., C) Raju has a connection to the character Coolie No. 1."
"Which statements accurately reflect the relationships among the characters in the context of 'Coolie No. 1'?
Options:
A. A) Jai Kishen believes that love is more important than wealth for a happy marriage.
B. B) Raju is incorrectly identified as Jeffrey's son-in-law.
C. C) Deepak proposes a drastic solution to deal with Raju's situation.
D. D) Jeffrey supports the idea that wealth is essential for happiness.","A) Jai Kishen believes that love is more important than wealth for a happy marriage., B) Raju is incorrectly identified as Jeffrey's son-in-law., C) Deepak proposes a drastic solution to deal with Raju's situation."
"Which statements accurately describe the relationships among the characters in the context provided?
Options:
A. A) Jai Kishen believes that love is more important than wealth for a happy marriage.
B. B) Raju denies knowing Jeffrey despite being mistaken for his son-in-law.
C. C) Mahesh Anand is involved in criminal activities.
D. D) Jeffrey is aware of Mahendra's alive state.","A) Jai Kishen believes that love is more important than wealth for a happy marriage., B) Raju denies knowing Jeffrey despite being mistaken for his son-in-law., C) Mahesh Anand is involved in criminal activities."
"Which characters are involved in the events surrounding the car in *Coolie No. 1*?
Options:
A. A) Inspector Jagjit Godbole
B. B) Raju
C. C) Kunwar Raj Pratap Singh
D. D) Deepak","A) Inspector Jagjit Godbole, B) Raju, C) Kunwar Raj Pratap Singh"
"What are the significant relationships involving Raju and the car in the context of 'Coolie No. 1'?
Options:
A. A) Raju is associated with the 'Coolie No. 1' badge.
B. B) The car is linked to the recovery of Raju's badge.
C. C) Raju tossed his badge into a car.
D. D) Inspector Jagjit Godbole is searching for Raju.","A) Raju is associated with the 'Coolie No. 1' badge., B) The car is linked to the recovery of Raju's badge., C) Raju tossed his badge into a car."
"What actions did Raju and Deepak take regarding the car and Raju's badge in 'Coolie No. 1'?
Options:
A. A) The car was found with Raju's badge inside.
B. B) Raju and Deepak pushed the car down a cliff.
C. C) Deepak suggested eliminating Raju.
D. D) The car was used to hide Raju's identity.","B) Raju and Deepak pushed the car down a cliff., C) Deepak suggested eliminating Raju."
"Which characters are involved in the events surrounding the car and Raju's badge in 'Coolie No. 1'?
Options:
A. A) Inspector Jagjit Godbole
B. B) Raju
C. C) Mahesh Anand
D. D) Deepak","A) Inspector Jagjit Godbole, B) Raju, C) Mahesh Anand"
"What are the relationships and roles of Raju, Deepak, and Kunwar Raj Pratap Singh in the context provided?
Options:
A. A) Deepak wants to eliminate Raju to avoid complications.
B. B) Raju collaborates with Deepak to rescue Mahendra.
C. C) Raju is confused with Kunwar Raj Pratap Singh.
D. D) Raju and Deepak are rivals.","A) Deepak wants to eliminate Raju to avoid complications., B) Raju collaborates with Deepak to rescue Mahendra., C) Raju is confused with Kunwar Raj Pratap Singh."
"What roles do Raju and Deepak play in relation to each other and the movie *Coolie No. 1*?
Options:
A. A) Deepak is planning with Raju to save Mahendra's life.
B. B) Raju is suggested to be killed by Deepak.
C. C) Raju is involved in the plot of *Coolie No. 1*.
D. D) Deepak is a main character in *Coolie No. 1*.","A) Deepak is planning with Raju to save Mahendra's life., B) Raju is suggested to be killed by Deepak., C) Raju is involved in the plot of *Coolie No. 1*."
"Which statements accurately describe the relationships among Raju and Deepak?
Options:
A. A) Deepak is involved in a plan with Raju to save Mahendra's life.
B. B) Deepak suggests killing Raju to prevent further problems.
C. C) Raju is planning to kill Deepak.
D. D) Deepak's suggestion to kill Raju is repeated in the context.","A) Deepak is involved in a plan with Raju to save Mahendra's life., B) Deepak suggests killing Raju to prevent further problems., D) Deepak's suggestion to kill Raju is repeated in the context."
"Which characters are involved in the plan to save Mahendra's life?
Options:
A. Deepak
B. Raju
C. Mahesh Anand
D. All of the above","Deepak, Raju"
"Which characters are involved in the conflict regarding Raju in the plot of *Coolie No. 1*?
Options:
A. A) Jeffrey
B. B) Raju
C. C) Deepak
D. D) Mahendra","A) Jeffrey, B) Raju, C) Deepak"
"What actions or suspicions are associated with the characters in the context of the plot?
Options:
A. A) Inspector Godbole suspects Raju and his twin brother Raj are the same person.
B. B) Deepak plans to kill Raju to prevent further issues.
C. C) Raju is involved in planning to save Mahendra's life.
D. D) Inspector Godbole is unaware of Raju's true identity.","A) Inspector Godbole suspects Raju and his twin brother Raj are the same person., B) Deepak plans to kill Raju to prevent further issues., C) Raju is involved in planning to save Mahendra's life."
"What actions or roles do Raju and Deepak take in relation to each other in 'Coolie No. 1'?
Options:
A. A) Raju tosses his badge into a car.
B. B) Deepak suggests killing Raju.
C. C) Raju and Deepak plan together to save Mahendra's life.
D. D) Raju is the main antagonist in the movie.","A) Raju tosses his badge into a car., B) Deepak suggests killing Raju., C) Raju and Deepak plan together to save Mahendra's life."
"What actions or roles are associated with the characters in the context of the plot involving inspector Godbole, Raju, and Deepak?
Options:
A. A) Inspector Godbole suspects Raju due to Mahesh's framing.
B. B) Deepak plans to kill Raju to avoid complications.
C. C) Raju is involved in planning to save Mahendra's life.
D. D) Inspector Godbole is friends with Deepak.","A) Inspector Godbole suspects Raju due to Mahesh's framing., B) Deepak plans to kill Raju to avoid complications., C) Raju is involved in planning to save Mahendra's life."
