Question,Answer
Did Rakesh Roshan intend for Krrish to be a typical Hollywood film in 2006?,NO
Did Rakesh Roshan aim for Krrish to set a trend in Indian cinema with its visual effects comparable to Hollywood films in 2006?,YES
Does the movie Krrish released in 2006 have no connection to Indian mythology?,NO
"Is the main character in Krrish, released in 2006, named after the Hindu Lord Krishna from Indian mythology?",YES
"Did the movie ""Krrish"" released in 2006 focus solely on Indian mythology without incorporating any elements of Chinese martial arts?",NO
"Does the movie ""Krrish"" released in 2006 combine Indian mythology with Chinese martial arts and Hollywood film elements?",YES
"Does the movie Krrish, released in 2006, begin with a completely new storyline unrelated to Koi... Mil Gaya?",NO
"Is Krrish, released in 2006, a continuation of the story from Koi... Mil Gaya?",YES
"Did Hrithik Roshan develop the character of Krrish in the 2006 movie ""Krrish""?",NO
"Will Hrithik Roshan return for a sequel to the 2006 movie ""Krrish""?",YES
Was Preity Zinta retained for the role in the movie Krrish released in 2006?,NO
Did Priyanka Chopra replace Preity Zinta in the movie Krrish released in 2006?,YES
"Is the movie ""Krrish"" from 2006 considered a production that did not aim to prove the Indian film industry is equal to Hollywood?",NO
"Did Rakesh Roshan hope that ""Krrish"" released in 2006 would be remembered as a significant production for the Indian film industry?",YES
"Was the movie ""Krrish"" released in 2006 filmed entirely in Singapore?",NO
"Did the production of ""Krrish"" in 2006 face delays due to heavy rains in Singapore?",YES
"Did the filming of ""Krrish"" in 2006 take place without any production delays?",NO
"Was Robinson Road a significant location in the production of ""Krrish"" in 2006?",YES
"Is there a scene in the movie ""Krrish"" released in 2006 that takes place in a location other than the Singapore Zoo?",NO
"Does the movie ""Krrish"" released in 2006 feature significant scenes shot at the Singapore Zoo?",YES
Is the gateway building a location that is not featured in the movie Krrish released in 2006?,NO
Is the gateway building a location featured in the movie Krrish released in 2006?,YES
"Did significant scenes in the movie ""Krrish"" released in 2006 take place in the Singapore National Library?",NO
"Were there any significant scenes shot in ""Krrish"" that featured a location in Singapore in 2006?",YES
Did Hrithik Roshan hire experts Marc Kolbe and Craig Mumma to create visual effects for the movie Krrish in 2006?,NO
"Did Marc Kolbe and Craig Mumma have previous work experience in films like Independence Day, Godzilla, and Sky Captain before working on Krrish in 2006?",YES
"Did the production of ""Krrish"" in 2006 involve an individual other than Tony Ching for developing action sequences?",NO
"Was Tony Ching hired specifically for the production of ""Krrish"" in 2006 to help develop action sequences?",YES
"Did the storyboard of the film ""Krrish"" in 2006 remain unused in the production process?",NO
"Was the storyboard of the film ""Krrish"" in 2006 prepared and sent to Tony Ching to help develop action sequences?",YES
Was Farah Khan the director of the movie Krrish released in 2006?,NO
Was Farah Khan hired as a choreographer for the movie Krrish in 2006?,YES
Were Samir Chanda and Sham Kaushal the main actors in the movie Krrish released in 2006?,NO
Did Samir Chanda and Sham Kaushal work as art directors for the movie Krrish released in 2006?,YES
Were Baylon Fonesca and Nakul Kamte not hired for sound in the movie Krrish released in 2006?,NO
Were Baylon Fonesca and Nakul Kamte hired for sound in the movie Krrish released in 2006?,YES
Was Nahush Pise the director of the movie Krrish released in 2006?,NO
Was a makeup artist hired for the movie Krrish released in 2006?,YES
Was Sham Kaushal the main director of the movie Krrish released in 2006?,NO
Was Sham Kaushal hired as the assistant action director for the movie Krrish released in 2006?,YES
"Did the filming location of ""Krrish"" in 2006 harm tourism in Singapore?",NO
"Did the film shoot of ""Krrish"" in 2006 benefit domestic and Indian film-induced tourism in Singapore?",YES
"Did the stunt performer successfully complete the flying stunt in the movie ""Krrish"" released in 2006?",NO
"Did Hrithik Roshan perform any flying stunts in the movie ""Krrish"" released in 2006?",YES
"Did Hrithik Roshan sustain a hamstring injury in his left leg during the production of the movie ""Krrish"" released in 2006?",NO
"Did Hrithik Roshan tear his hamstring in his right leg during a circus scene in the movie ""Krrish"" released in 2006?",YES
Did Roshan sustain the injury of singed hair while running through fire in the movie Krrish released in 2006?,NO
Did Roshan suffer an injury during another action scene in the movie Krrish released in 2006?,YES
Did Hrithik Roshan sustain injuries during the filming of the movie Krrish in 2006?,NO
"Did Hrithik Roshan break his thumb and toe while preparing for wirework in Krrish, released in 2006?",YES
"Did the movie Krrish, released in 2006, have fewer than 100 vfx specialists assigned by Prasad EFX to work on the visual effects for the film?",NO
Was the number of vfx specialists assigned by Prasad EFX to work on the visual effects for the film Krrish in 2006 over 100?,YES
"Did the movie ""Krrish"" released in 2006 have less than 1,200 VFX shots prepared by the visual effects team?",NO
"Did the visual effects team prepare fire sequences that took around 90 minutes of screen time for the movie ""Krrish"" in 2006?",YES
Did the fire sequences in the movie Krrish (2006) not require complicated wire removals as part of the VFX work?,NO
Were the fire sequences in the movie Krrish (2006) dependent on complicated wire removals for the VFX work?,YES
"Did the movie ""Krrish"" released in 2006 involve simple wire removals in its VFX shots?",NO
"Did the production of ""Krrish"" in 2006 include complicated wire removals for its VFX shots?",YES
"Did the visual effects team prepare more than 90 minutes of screen time for the movie ""Krrish"" released in 2006?",NO
"Did the visual effects team work on over 1,200 VFX shots for the movie ""Krrish"" released in 2006?",YES
"Did the movie ""Krrish"" released in 2006 have fire sequences that accounted for less than 90 minutes of screen time?",NO
"Did the fire sequences in the movie ""Krrish"" released in 2006 account for around 90 minutes of screen time?",YES
