node_1,node_2,edge,chunk_id,count
nate cooper,cristabel abbott,"Nate has unrequited feelings for Cristabel, who was his first love in elementary school. They reconnect on the beaches of California, but Cristabel refuses to go on a date with Nate unless her best friend June also has a date.",7e35159b0bd04d64bdf9fc2e0a6c9bc9,4
cristabel abbott,albino stalker,"Cristabel jogs on the beach every day with many suitors trying to catch her eye, including an albino stalker.",7e35159b0bd04d64bdf9fc2e0a6c9bc9,4
june phigg,nate cooper,"Nate reintroduces himself to Cristabel and they hit it off, but Cristabel refuses to go on a date with him unless June has a date as well.",7e35159b0bd04d64bdf9fc2e0a6c9bc9,4
june phigg,men,"Men recoil at the sight of June, but Nate tricks someone into dating her under the pretense that he's offering $500 for participating in medical testing.",7e35159b0bd04d64bdf9fc2e0a6c9bc9,4
june phigg,johann wulrich,An attractive dentist and part-time model named Johann appears in their lives and seems to want to do a makeover on June when he apparently sees her inner beauty.,7e35159b0bd04d64bdf9fc2e0a6c9bc9,4
cristabel abbott,june phigg,"Cristabel is still best friends with the same short, unattractive brunette girl whom Nate also knew in elementary school, June Phigg.",7e35159b0bd04d64bdf9fc2e0a6c9bc9,4
june,cristabel,"Initially, June and Cristabel are both considered potential love interests for Nate. However, as the story progresses, Cristabel begins dating Nate, while June starts dating Johann. This leads to a shift in their relationships with each other.",c6e8948879f24e95a6524ad15a8cb0af,4
june,inner beauty,He seems to want to do a makeover on June when he apparently sees her inner beauty.,c6e8948879f24e95a6524ad15a8cb0af,4
june,johann,"June begins dating Johann, but eventually rejects him and realizes she has feelings for Nate.",c6e8948879f24e95a6524ad15a8cb0af,4
johann,cristabel,Johann sees Cristabel as a potential love interest before realizing that June is the girl of his dreams.,c6e8948879f24e95a6524ad15a8cb0af,4
nate,inner beauty,"As Nate gets to know June, he begins to appreciate her inner beauty and starts to develop feelings for her.",c6e8948879f24e95a6524ad15a8cb0af,4
june,outer beauty,"Over the course of the story, June's outer appearance transforms as she emerges from her cocoon and becomes more attractive than before.",c6e8948879f24e95a6524ad15a8cb0af,4
