Question & Options,Correct Answer
"Who played the character of Johnny in the 2003 movie 'The Room'?""
Options:
A. [""James Franco""]
B. [""Tommy Wiseau""]
C. [""Greg Sestero""]
D. [""Philip Haldiman",Tommy Wiseau
"Who portrayed the character Lisa in the 2003 movie 'The Room'?""
Options:
A. [""Julia Roberts""]
B. [""Juliette Danielle""]
C. [""Jennifer Aniston""]
D. [""Jennifer Lawrence",Juliette Danielle
"In the 2003 movie 'The Room', which character was played by Greg Sestero?""
Options:
A. [""Johnny""]
B. [""Denny""]
C. [""Mark""]
D. [""Lisa",Mark
"Who played the role of Denny in the 2003 movie 'The Room'?""
Options:
A. [""Tommy Wiseau""]
B. [""Juliette Danielle""]
C. [""Greg Sestero""]
D. [""Philip Haldiman",Philip Haldiman
"Who portrayed the character Claudette in the 2003 movie 'The Room'?""
Options:
A. [""Juliette Danielle""]
B. [""Tommy Wiseau""]
C. [""Carolyn Minnott""]
D. [""Greg Sestero",Carolyn Minnott
"Who played the character Michelle in the 2003 film 'The Room'?""
Options:
A. [""Juliette Danielle""]
B. [""Robyn Paris""]
C. [""Greg Sestero""]
D. [""Tommy Wiseau",Robyn Paris
"Who portrayed the character Mike in the 2003 movie 'The Room'?""
Options:
A. [""Tommy Wiseau""]
B. [""Scott Holmes""]
C. [""Juliette Danielle""]
D. [""Greg Sestero",Scott Holmes
"Who played the role of Chris-R in the 2003 movie 'The Room'?""
Options:
A. [""Tommy Wiseau""]
B. [""Greg Sestero""]
C. [""Juliette Danielle""]
D. [""Dan Janjigian",Dan Janjigian
"In the 2003 movie 'The Room', which character was played by Kyle Vogt?""
Options:
A. [""Johnny""]
B. [""Mark""]
C. [""Peter""]
D. [""Denny",Peter
"Who portrayed the character Steven in the 2003 movie 'The Room'?""]
Options:
A. [""Tommy Wiseau""]
B. [""Philip Haldiman""]
C. [""Juliette Danielle""]
D. [""Greg Ellery",Greg Ellery
