node_1,node_2,edge
johnny cash,folsom state prison,"In 1968, as an audience of inmates at Folsom State Prison cheer for Johnny Cash, he waits backstage near a table saw, reminding him of his early life."
johnny cash,tennessee two,"Cash's band auditions for Sam Phillips, the owner of Sun Records. Phillips signs them after they play ""Folsom Prison Blues"", and the band begins touring as Johnny Cash and the Tennessee Two, alongside fellow rising stars Elvis Presley, Carl Perkins and Jerry Lee Lewis."
johnny cash,elvis presley,"Cash's band begins touring as Johnny Cash and the Tennessee Two, alongside fellow rising stars Elvis Presley, Carl Perkins and Jerry Lee Lewis."
johnny cash,carl perkins,"Cash's band begins touring as Johnny Cash and the Tennessee Two, alongside fellow rising stars Elvis Presley, Carl Perkins and Jerry Lee Lewis."
johnny cash,jerry lee lewis,"Cash's band begins touring as Johnny Cash and the Tennessee Two, alongside fellow rising stars Elvis Presley, Carl Perkins and Jerry Lee Lewis."
johnny,june carter,"On tour, Johnny meets June Carter, with whom he falls in love."
johnny,prisoners,Johnny discovers that most of his fan mail is from prisoners.
folsom prison,johnny,Johnny proposes to skeptical Columbia Records executives that he will record an album live inside Folsom Prison.
tour,johnny,Johnny embarks on a tour with June and his band.
ring of fire,johnny,Johnny performs 'Ring of Fire' on stage.
duet,june,"After the song, Cash invites June to a duet and stops in the middle, saying he cannot sing 'Jackson' anymore unless June agrees to marry him."
