node_1,node_2,edge,chunk_id,count
project milaap,india and pakistan,attempt to de-escalate tensions between the two nations through a prisoner exchange program,510e8ed5a65d4183ab77fad6103bcf5a,4
raghavan dutta,general amarjeet bakshi,"Raghavan fires a shot at General Amarjeet Bakshi, but Brigadier Shekhar Sharma takes the bullet",510e8ed5a65d4183ab77fad6103bcf5a,4
ram prasad sharma,shekhar sharma,Father-son relationship between Ram and Shekhar,510e8ed5a65d4183ab77fad6103bcf5a,4
lakshman prasad sharma,shekhar sharma,Shekhar had a son named Lakshman Prasad Sharma who was separated from him and his family for 20 years,510e8ed5a65d4183ab77fad6103bcf5a,4
madhu,shekhar sharma,"Shekhar cheated on Madhu, leading to her leaving him and their separation for 20 years",510e8ed5a65d4183ab77fad6103bcf5a,4
main hoon na,filmfare awards,"Main Hoon Na received 12 nominations at the Filmfare Awards, including Best Film and Best Director for Farah",510e8ed5a65d4183ab77fad6103bcf5a,4
ram,general bakshi,Ram is sent by General Bakshi on a covert mission to protect his daughter Sanjana.,ce9f67a872f24e3e85213a17cd4262c4,4
bakshi,sanjana,General Bakshi sends Ram to protect his daughter Sanjana.,ce9f67a872f24e3e85213a17cd4262c4,4
ram,st. paul's college,"Ram goes to St. Paul's College under the guise of being a student, as he cannot spend enough time with Sanjana if he goes there as a teacher.",ce9f67a872f24e3e85213a17cd4262c4,4
sanjana,st. paul's college,Sanjana studies at St. Paul's College in Darjeeling.,ce9f67a872f24e3e85213a17cd4262c4,4
ram,lucky,"Ram encounters Sanjana and her love interest Lucky, but both don't want to know him for the reason that he is much older than everyone.",ce9f67a872f24e3e85213a17cd4262c4,4
sanjana,lucky,Sanjana has a love interest named Lucky.,ce9f67a872f24e3e85213a17cd4262c4,4
ram,college computer,A college student helps Ram hack the college computer to find out about Lakshman's identity.,ce9f67a872f24e3e85213a17cd4262c4,4
lucky,ram,"Lucky is actually Lakshman, as discovered by Ram during a covert mission sent by General Bakshi.",ce9f67a872f24e3e85213a17cd4262c4,4
